Treatment_name,Well,Plate,Culture,State,Media type,P_ug_L,N_ug_L
A_WT_14150N,C3,19,WT_7806,Axenic,COMBO,1551,14150.00
A_WT_2950N,E6,12,WT_7806,Axenic,COMBO,1551,2760.00
A_WT_2950N,D2,15,WT_7806,Axenic,COMBO,1551,2760.00
A_WT_2950N,C5,17,WT_7806,Axenic,COMBO,1551,2760.00
A_WT_30500N,C4,14,WT_7806,Axenic,COMBO,1551,30500.00
A_WT_30500N,D6,17,WT_7806,Axenic,COMBO,1551,30500.00
A_WT_30500N,B2,18,WT_7806,Axenic,COMBO,1551,30500.00
A_WT_40N,C3,13,WT_7806,Axenic,COMBO,1551,40.50
A_WT_40N,B4,15,WT_7806,Axenic,COMBO,1551,40.50
A_WT_40N,D7,19,WT_7806,Axenic,COMBO,1551,40.50
A_WT_425N,D5,12,WT_7806,Axenic,COMBO,1551,425.00
A_WT_425N,E7,15,WT_7806,Axenic,COMBO,1551,425.00
A_WT_425N,D3,16,WT_7806,Axenic,COMBO,1551,425.00
X_9701_0N,D2,12,PCC_9701,Xenic,COMBO,1551,8.00
X_9701_0N,E5,13,PCC_9701,Xenic,COMBO,1551,8.00
X_9701_0N,B6,14,PCC_9701,Xenic,COMBO,1551,8.00
X_9701_1000N,D7,16,PCC_9701,Xenic,COMBO,1551,883.00
X_9701_1000N,C2,17,PCC_9701,Xenic,COMBO,1551,883.00
X_9701_1000N,B4,18,PCC_9701,Xenic,COMBO,1551,883.00
X_9701_100N,C3,14,PCC_9701,Xenic,COMBO,1551,87.00
X_9701_100N,C6,18,PCC_9701,Xenic,COMBO,1551,87.00
X_9701_100N,B4,19,PCC_9701,Xenic,COMBO,1551,87.00
X_9701_14150N,E7,13,PCC_9701,Xenic,COMBO,1551,14150.00
X_9701_14150N,E4,16,PCC_9701,Xenic,COMBO,1551,14150.00
X_9701_14150N,B2,19,PCC_9701,Xenic,COMBO,1551,14150.00
X_9701_2950N,D6,12,PCC_9701,Xenic,COMBO,1551,2760.00
X_9701_2950N,B3,15,PCC_9701,Xenic,COMBO,1551,2760.00
X_9701_2950N,E4,17,PCC_9701,Xenic,COMBO,1551,2760.00
