"","p_well","Well","Plate","Treatment_name","Culture","State","N_ug_L","chlA_150","chlA_150_true","PC_100","PC_100_true","read_day","read_time","read_timeDays","growthrate_PC","growthrate_chlA"
"1","12_B1","B1",12,"BLANK","Media_CTRL",NA,NA,11.1,12.1,1.31,2.31,0,2021-10-19 15:48:00,0,NA,NA
"2","12_B2","B2",12,"A_9701_0N","PCC_9701","Axenic",8,24.9,25.9,2.71,3.71,0,2021-10-19 15:48:00,0,NA,NA
"3","12_C2","C2",12,"X_NIES_0N","NIES_843","Xenic",8,25,26,3.28,4.28,0,2021-10-19 15:48:00,0,NA,NA
"4","12_D2","D2",12,"X_9701_0N","PCC_9701","Xenic",8,27.7,28.7,1.05,2.05,0,2021-10-19 15:48:00,0,NA,NA
"5","12_E2","E2",12,"A_MUT_0N","MUT_7806","Axenic",8,20.4,21.4,1.79,2.79,0,2021-10-19 15:48:00,0,NA,NA
"6","12_B3","B3",12,"X_MUT_0N","MUT_7806","Xenic",8,32.8,33.8,1.75,2.75,0,2021-10-19 15:48:00,0,NA,NA
"7","12_C3","C3",12,"X_WT_0N","WT_7806","Xenic",8,20.9,21.9,1.63,2.63,0,2021-10-19 15:48:00,0,NA,NA
"8","12_D3","D3",12,"A_WT_0N","WT_7806","Axenic",8,30.8,31.8,1.2,2.2,0,2021-10-19 15:48:00,0,NA,NA
"9","12_E3","E3",12,"A_NIES_0N","NIES_843","Axenic",8,24.4,25.4,1.64,2.64,0,2021-10-19 15:48:00,0,NA,NA
"10","12_B4","B4",12,"X_NIES_425N","NIES_843","Xenic",425,44.2,45.2,2.5,3.5,0,2021-10-19 15:48:00,0,NA,NA
"11","12_C4","C4",12,"X_9701_425N","PCC_9701","Xenic",425,19.1,20.1,0.55,1.55,0,2021-10-19 15:48:00,0,NA,NA
"12","12_D4","D4",12,"X_WT_425N","WT_7806","Xenic",425,25.5,26.5,1.57,2.57,0,2021-10-19 15:48:00,0,NA,NA
"13","12_E4","E4",12,"A_NIES_425N","NIES_843","Axenic",425,22.8,23.8,1.93,2.93,0,2021-10-19 15:48:00,0,NA,NA
"14","12_B5","B5",12,"X_MUT_425N","MUT_7806","Xenic",425,22.6,23.6,2.25,3.25,0,2021-10-19 15:48:00,0,NA,NA
"15","12_C5","C5",12,"A_9701_425N","PCC_9701","Axenic",425,20.4,21.4,1.7,2.7,0,2021-10-19 15:48:00,0,NA,NA
"16","12_D5","D5",12,"A_WT_425N","WT_7806","Axenic",425,28.3,29.3,2,3,0,2021-10-19 15:48:00,0,NA,NA
"17","12_E5","E5",12,"A_MUT_425N","MUT_7806","Axenic",425,17.3,18.3,1.69,2.69,0,2021-10-19 15:48:00,0,NA,NA
"18","12_B6","B6",12,"X_WT_2950N","WT_7806","Xenic",2760,15.3,16.3,2.25,3.25,0,2021-10-19 15:48:00,0,NA,NA
"19","12_C6","C6",12,"A_9701_2950N","PCC_9701","Axenic",2760,11,12,1.35,2.35,0,2021-10-19 15:48:00,0,NA,NA
"20","12_D6","D6",12,"X_9701_2950N","PCC_9701","Xenic",2760,30.6,31.6,1.3,2.3,0,2021-10-19 15:48:00,0,NA,NA
"21","12_E6","E6",12,"A_WT_2950N","WT_7806","Axenic",2760,30.8,31.8,1.06,2.06,0,2021-10-19 15:48:00,0,NA,NA
"22","12_B7","B7",12,"A_NIES_2950N","NIES_843","Axenic",2760,42.3,43.3,1.96,2.96,0,2021-10-19 15:48:00,0,NA,NA
"23","12_C7","C7",12,"X_NIES_2950N","NIES_843","Xenic",2760,20.8,21.8,2.53,3.53,0,2021-10-19 15:48:00,0,NA,NA
"24","12_D7","D7",12,"A_MUT_2950N","MUT_7806","Axenic",2760,17.9,18.9,1.29,2.29,0,2021-10-19 15:48:00,0,NA,NA
"25","12_E7","E7",12,"X_MUT_2950N","MUT_7806","Xenic",2760,37.9,38.9,2.94,3.94,0,2021-10-19 15:48:00,0,NA,NA
"26","13_B1","B1",13,"BLANK","Media_CTRL",NA,NA,16.1,17.1,1.38,2.38,0,2021-10-19 15:43:00,0,NA,NA
"27","13_B2","B2",13,"X_WT_40N","WT_7806","Xenic",40.5,21.3,22.3,2.67,3.67,0,2021-10-19 15:43:00,0,NA,NA
"28","13_C2","C2",13,"A_NIES_40N","NIES_843","Axenic",40.5,29.1,30.1,1.7,2.7,0,2021-10-19 15:43:00,0,NA,NA
"29","13_D2","D2",13,"X_NIES_40N","NIES_843","Xenic",40.5,32.8,33.8,5.25,6.25,0,2021-10-19 15:43:00,0,NA,NA
"30","13_E2","E2",13,"X_9701_40N","PCC_9701","Xenic",40.5,16.7,17.7,2,3,0,2021-10-19 15:43:00,0,NA,NA
"31","13_B3","B3",13,"A_9701_40N","PCC_9701","Axenic",40.5,18.1,19.1,1.07,2.07,0,2021-10-19 15:43:00,0,NA,NA
"32","13_C3","C3",13,"A_WT_40N","WT_7806","Axenic",40.5,30.8,31.8,1.66,2.66,0,2021-10-19 15:43:00,0,NA,NA
"33","13_D3","D3",13,"A_MUT_40N","MUT_7806","Axenic",40.5,33.9,34.9,2.2,3.2,0,2021-10-19 15:43:00,0,NA,NA
"34","13_E3","E3",13,"X_MUT_40N","MUT_7806","Xenic",40.5,18.8,19.8,1.9,2.9,0,2021-10-19 15:43:00,0,NA,NA
"35","13_B4","B4",13,"X_WT_0N","WT_7806","Xenic",8,32.9,33.9,2.25,3.25,0,2021-10-19 15:43:00,0,NA,NA
"36","13_C4","C4",13,"A_MUT_0N","MUT_7806","Axenic",8,19.3,20.3,0.7,1.7,0,2021-10-19 15:43:00,0,NA,NA
"37","13_D4","D4",13,"A_9701_0N","PCC_9701","Axenic",8,15.9,16.9,1.7,2.7,0,2021-10-19 15:43:00,0,NA,NA
"38","13_E4","E4",13,"A_WT_0N","WT_7806","Axenic",8,12.4,13.4,1.66,2.66,0,2021-10-19 15:43:00,0,NA,NA
"39","13_B5","B5",13,"X_MUT_0N","MUT_7806","Xenic",8,38.5,39.5,2.67,3.67,0,2021-10-19 15:43:00,0,NA,NA
"40","13_C5","C5",13,"A_NIES_0N","NIES_843","Axenic",8,9.06,10.06,2.83,3.83,0,2021-10-19 15:43:00,0,NA,NA
"41","13_D5","D5",13,"X_NIES_0N","NIES_843","Xenic",8,19.3,20.3,3.64,4.64,0,2021-10-19 15:43:00,0,NA,NA
"42","13_E5","E5",13,"X_9701_0N","PCC_9701","Xenic",8,10.5,11.5,1.67,2.67,0,2021-10-19 15:43:00,0,NA,NA
"43","13_B6","B6",13,"A_9701_14150N","PCC_9701","Axenic",14150,25.7,26.7,1.55,2.55,0,2021-10-19 15:43:00,0,NA,NA
"44","13_C6","C6",13,"A_MUT_14150N","MUT_7806","Axenic",14150,11.1,12.1,2.67,3.67,0,2021-10-19 15:43:00,0,NA,NA
"45","13_D6","D6",13,"X_MUT_14150N","MUT_7806","Xenic",14150,24.8,25.8,2.05,3.05,0,2021-10-19 15:43:00,0,NA,NA
"46","13_E6","E6",13,"A_WT_14150N","WT_7806","Axenic",14150,17.3,18.3,1.95,2.95,0,2021-10-19 15:43:00,0,NA,NA
"47","13_B7","B7",13,"X_NIES_14150N","NIES_843","Xenic",14150,41.5,42.5,5.5,6.5,0,2021-10-19 15:43:00,0,NA,NA
"48","13_C7","C7",13,"X_WT_14150N","WT_7806","Xenic",14150,8.25,9.25,2.5,3.5,0,2021-10-19 15:43:00,0,NA,NA
"49","13_D7","D7",13,"A_NIES_14150N","NIES_843","Axenic",14150,18.9,19.9,1.42,2.42,0,2021-10-19 15:43:00,0,NA,NA
"50","13_E7","E7",13,"X_9701_14150N","PCC_9701","Xenic",14150,21.8,22.8,1.71,2.71,0,2021-10-19 15:43:00,0,NA,NA
"51","14_B1","B1",14,"BLANK","Media_CTRL",NA,NA,17.1,18.1,1.38,2.38,0,2021-10-19 15:38:00,0,NA,NA
"52","14_B2","B2",14,"A_9701_100N","PCC_9701","Axenic",87,34,35,2.06,3.06,0,2021-10-19 15:38:00,0,NA,NA
"53","14_C2","C2",14,"X_WT_100N","WT_7806","Xenic",87,12.8,13.8,2.71,3.71,0,2021-10-19 15:38:00,0,NA,NA
"54","14_D2","D2",14,"X_MUT_100N","MUT_7806","Xenic",87,18.4,19.4,1.75,2.75,0,2021-10-19 15:38:00,0,NA,NA
"55","14_E2","E2",14,"X_NIES_100N","NIES_843","Xenic",87,20.3,21.3,4.17,5.17,0,2021-10-19 15:38:00,0,NA,NA
"56","14_B3","B3",14,"A_MUT_100N","MUT_7806","Axenic",87,27.8,28.8,2.25,3.25,0,2021-10-19 15:38:00,0,NA,NA
"57","14_C3","C3",14,"X_9701_100N","PCC_9701","Xenic",87,31.2,32.2,3.5,4.5,0,2021-10-19 15:38:00,0,NA,NA
"58","14_D3","D3",14,"A_WT_100N","WT_7806","Axenic",87,23.9,24.9,1.43,2.43,0,2021-10-19 15:38:00,0,NA,NA
"59","14_E3","E3",14,"A_NIES_100N","NIES_843","Axenic",87,12.3,13.3,2.54,3.54,0,2021-10-19 15:38:00,0,NA,NA
"60","14_B4","B4",14,"X_9701_30500N","PCC_9701","Xenic",30500,16.9,17.9,1.79,2.79,0,2021-10-19 15:38:00,0,NA,NA
"61","14_C4","C4",14,"A_WT_30500N","WT_7806","Axenic",30500,26,27,1.45,2.45,0,2021-10-19 15:38:00,0,NA,NA
"62","14_D4","D4",14,"X_NIES_30500N","NIES_843","Xenic",30500,8.95,9.95,2.54,3.54,0,2021-10-19 15:38:00,0,NA,NA
"63","14_E4","E4",14,"X_WT_30500N","WT_7806","Xenic",30500,22.7,23.7,3.07,4.07,0,2021-10-19 15:38:00,0,NA,NA
"64","14_B5","B5",14,"A_9701_30500N","PCC_9701","Axenic",30500,27.8,28.8,1.17,2.17,0,2021-10-19 15:38:00,0,NA,NA
"65","14_C5","C5",14,"A_NIES_30500N","NIES_843","Axenic",30500,24.5,25.5,1.86,2.86,0,2021-10-19 15:38:00,0,NA,NA
"66","14_D5","D5",14,"A_MUT_30500N","MUT_7806","Axenic",30500,24.6,25.6,2.25,3.25,0,2021-10-19 15:38:00,0,NA,NA
"67","14_E5","E5",14,"X_MUT_30500N","MUT_7806","Xenic",30500,11,12,2.81,3.81,0,2021-10-19 15:38:00,0,NA,NA
"68","14_B6","B6",14,"X_9701_0N","PCC_9701","Xenic",8,22.8,23.8,1.38,2.38,0,2021-10-19 15:38:00,0,NA,NA
"69","14_C6","C6",14,"X_NIES_0N","NIES_843","Xenic",8,39.6,40.6,4.61,5.61,0,2021-10-19 15:38:00,0,NA,NA
"70","14_D6","D6",14,"X_WT_0N","WT_7806","Xenic",8,22.7,23.7,1.05,2.05,0,2021-10-19 15:38:00,0,NA,NA
"71","14_E6","E6",14,"A_WT_0N","WT_7806","Axenic",8,24.4,25.4,1.39,2.39,0,2021-10-19 15:38:00,0,NA,NA
"72","14_B7","B7",14,"A_NIES_0N","NIES_843","Axenic",8,18.3,19.3,2.56,3.56,0,2021-10-19 15:38:00,0,NA,NA
"73","14_C7","C7",14,"X_MUT_0N","MUT_7806","Xenic",8,31.1,32.1,2.31,3.31,0,2021-10-19 15:38:00,0,NA,NA
"74","14_D7","D7",14,"A_MUT_0N","MUT_7806","Axenic",8,6.63,7.63,2.9,3.9,0,2021-10-19 15:38:00,0,NA,NA
"75","14_E7","E7",14,"A_9701_0N","PCC_9701","Axenic",8,26.5,27.5,1.44,2.44,0,2021-10-19 15:38:00,0,NA,NA
"76","15_B1","B1",15,"BLANK","Media_CTRL",NA,NA,17.7,18.7,1.15,2.15,0,2021-10-19 15:34:00,0,NA,NA
"77","15_B2","B2",15,"A_NIES_2950N","NIES_843","Axenic",2760,14.5,15.5,2.05,3.05,0,2021-10-19 15:34:00,0,NA,NA
"78","15_C2","C2",15,"X_WT_2950N","WT_7806","Xenic",2760,23.9,24.9,1.75,2.75,0,2021-10-19 15:34:00,0,NA,NA
"79","15_D2","D2",15,"A_WT_2950N","WT_7806","Axenic",2760,12.6,13.6,0.929,1.929,0,2021-10-19 15:34:00,0,NA,NA
"80","15_E2","E2",15,"A_MUT_2950N","MUT_7806","Axenic",2760,16.4,17.4,1.86,2.86,0,2021-10-19 15:34:00,0,NA,NA
"81","15_B3","B3",15,"X_9701_2950N","PCC_9701","Xenic",2760,22.1,23.1,1.38,2.38,0,2021-10-19 15:34:00,0,NA,NA
"82","15_C3","C3",15,"X_MUT_2950N","MUT_7806","Xenic",2760,20.4,21.4,1.44,2.44,0,2021-10-19 15:34:00,0,NA,NA
"83","15_D3","D3",15,"X_NIES_2950N","NIES_843","Xenic",2760,19.9,20.9,2.21,3.21,0,2021-10-19 15:34:00,0,NA,NA
"84","15_E3","E3",15,"A_9701_2950N","PCC_9701","Axenic",2760,21.7,22.7,2.33,3.33,0,2021-10-19 15:34:00,0,NA,NA
"85","15_B4","B4",15,"A_WT_40N","WT_7806","Axenic",40.5,25,26,2.15,3.15,0,2021-10-19 15:34:00,0,NA,NA
"86","15_C4","C4",15,"A_MUT_40N","MUT_7806","Axenic",40.5,23.3,24.3,2,3,0,2021-10-19 15:34:00,0,NA,NA
"87","15_D4","D4",15,"X_9701_40N","PCC_9701","Xenic",40.5,30.7,31.7,0.75,1.75,0,2021-10-19 15:34:00,0,NA,NA
"88","15_E4","E4",15,"A_NIES_40N","NIES_843","Axenic",40.5,26,27,1.95,2.95,0,2021-10-19 15:34:00,0,NA,NA
"89","15_B5","B5",15,"X_NIES_40N","NIES_843","Xenic",40.5,39.2,40.2,3.34,4.34,0,2021-10-19 15:34:00,0,NA,NA
"90","15_C5","C5",15,"X_WT_40N","WT_7806","Xenic",40.5,23.9,24.9,2.46,3.46,0,2021-10-19 15:34:00,0,NA,NA
"91","15_D5","D5",15,"X_MUT_40N","MUT_7806","Xenic",40.5,31.7,32.7,2.18,3.18,0,2021-10-19 15:34:00,0,NA,NA
"92","15_E5","E5",15,"A_9701_40N","PCC_9701","Axenic",40.5,26,27,1.89,2.89,0,2021-10-19 15:34:00,0,NA,NA
"93","15_B6","B6",15,"X_MUT_425N","MUT_7806","Xenic",425,34.9,35.9,1.61,2.61,0,2021-10-19 15:34:00,0,NA,NA
"94","15_C6","C6",15,"X_NIES_425N","NIES_843","Xenic",425,24.4,25.4,3.33,4.33,0,2021-10-19 15:34:00,0,NA,NA
"95","15_D6","D6",15,"A_MUT_425N","MUT_7806","Axenic",425,14.6,15.6,1.6,2.6,0,2021-10-19 15:34:00,0,NA,NA
"96","15_E6","E6",15,"X_WT_425N","WT_7806","Xenic",425,9.25,10.25,2,3,0,2021-10-19 15:34:00,0,NA,NA
"97","15_B7","B7",15,"A_NIES_425N","NIES_843","Axenic",425,36.1,37.1,2.07,3.07,0,2021-10-19 15:34:00,0,NA,NA
"98","15_C7","C7",15,"A_9701_425N","PCC_9701","Axenic",425,14.1,15.1,1.59,2.59,0,2021-10-19 15:34:00,0,NA,NA
"99","15_D7","D7",15,"X_9701_425N","PCC_9701","Xenic",425,8.69,9.69,1.38,2.38,0,2021-10-19 15:34:00,0,NA,NA
"100","15_E7","E7",15,"A_WT_425N","WT_7806","Axenic",425,21.6,22.6,1.45,2.45,0,2021-10-19 15:34:00,0,NA,NA
"101","16_B1","B1",16,"BLANK","Media_CTRL",NA,NA,40.6,41.6,1.38,2.38,0,2021-10-19 15:25:00,0,NA,NA
"102","16_B2","B2",16,"X_9701_425N","PCC_9701","Xenic",425,23.3,24.3,1.5,2.5,0,2021-10-19 15:25:00,0,NA,NA
"103","16_C2","C2",16,"X_MUT_425N","MUT_7806","Xenic",425,11.3,12.3,1.54,2.54,0,2021-10-19 15:25:00,0,NA,NA
"104","16_D2","D2",16,"A_9701_425N","PCC_9701","Axenic",425,32.1,33.1,1.42,2.42,0,2021-10-19 15:25:00,0,NA,NA
"105","16_E2","E2",16,"A_MUT_425N","MUT_7806","Axenic",425,20.6,21.6,1.4,2.4,0,2021-10-19 15:25:00,0,NA,NA
"106","16_B3","B3",16,"A_NIES_425N","NIES_843","Axenic",425,30.8,31.8,2.75,3.75,0,2021-10-19 15:25:00,0,NA,NA
"107","16_C3","C3",16,"X_WT_425N","WT_7806","Xenic",425,30.3,31.3,1.84,2.84,0,2021-10-19 15:25:00,0,NA,NA
"108","16_D3","D3",16,"A_WT_425N","WT_7806","Axenic",425,13.9,14.9,2.08,3.08,0,2021-10-19 15:25:00,0,NA,NA
"109","16_E3","E3",16,"X_NIES_425N","NIES_843","Xenic",425,18.3,19.3,2.32,3.32,0,2021-10-19 15:25:00,0,NA,NA
"110","16_B4","B4",16,"A_WT_14150N","WT_7806","Axenic",14150,29.6,30.6,2.8,3.8,0,2021-10-19 15:25:00,0,NA,NA
"111","16_C4","C4",16,"X_NIES_14150N","NIES_843","Xenic",14150,25.1,26.1,2.53,3.53,0,2021-10-19 15:25:00,0,NA,NA
"112","16_D4","D4",16,"A_NIES_14150N","NIES_843","Axenic",14150,14.4,15.4,1.63,2.63,0,2021-10-19 15:25:00,0,NA,NA
"113","16_E4","E4",16,"X_9701_14150N","PCC_9701","Xenic",14150,17.2,18.2,0.292,1.292,0,2021-10-19 15:25:00,0,NA,NA
"114","16_B5","B5",16,"A_MUT_14150N","MUT_7806","Axenic",14150,23.9,24.9,1.54,2.54,0,2021-10-19 15:25:00,0,NA,NA
"115","16_C5","C5",16,"X_MUT_14150N","MUT_7806","Xenic",14150,11.6,12.6,2.5,3.5,0,2021-10-19 15:25:00,0,NA,NA
"116","16_D5","D5",16,"X_WT_14150N","WT_7806","Xenic",14150,25.4,26.4,2.31,3.31,0,2021-10-19 15:25:00,0,NA,NA
"117","16_E5","E5",16,"A_9701_14150N","PCC_9701","Axenic",14150,24.1,25.1,0.714,1.714,0,2021-10-19 15:25:00,0,NA,NA
"118","16_B6","B6",16,"A_NIES_1000N","NIES_843","Axenic",883,11.7,12.7,1.46,2.46,0,2021-10-19 15:25:00,0,NA,NA
"119","16_C6","C6",16,"A_WT_1000N","WT_7806","Axenic",883,24.9,25.9,1.5,2.5,0,2021-10-19 15:25:00,0,NA,NA
"120","16_D6","D6",16,"X_WT_1000N","WT_7806","Xenic",883,13.8,14.8,1.19,2.19,0,2021-10-19 15:25:00,0,NA,NA
"121","16_E6","E6",16,"X_NIES_1000N","NIES_843","Xenic",883,16,17,2.39,3.39,0,2021-10-19 15:25:00,0,NA,NA
"122","16_B7","B7",16,"X_MUT_1000N","MUT_7806","Xenic",883,23.8,24.8,1.36,2.36,0,2021-10-19 15:25:00,0,NA,NA
"123","16_C7","C7",16,"A_9701_1000N","PCC_9701","Axenic",883,24.4,25.4,1.94,2.94,0,2021-10-19 15:25:00,0,NA,NA
"124","16_D7","D7",16,"X_9701_1000N","PCC_9701","Xenic",883,22.1,23.1,1.5,2.5,0,2021-10-19 15:25:00,0,NA,NA
"125","16_E7","E7",16,"A_MUT_1000N","MUT_7806","Axenic",883,16.8,17.8,1.65,2.65,0,2021-10-19 15:25:00,0,NA,NA
"126","17_B1","B1",17,"BLANK","Media_CTRL",NA,NA,12.1,13.1,0.125,1.125,0,2021-10-19 15:19:00,0,NA,NA
"127","17_B2","B2",17,"X_WT_1000N","WT_7806","Xenic",883,29.9,30.9,2.13,3.13,0,2021-10-19 15:19:00,0,NA,NA
"128","17_C2","C2",17,"X_9701_1000N","PCC_9701","Xenic",883,27.9,28.9,1.04,2.04,0,2021-10-19 15:19:00,0,NA,NA
"129","17_D2","D2",17,"A_MUT_1000N","MUT_7806","Axenic",883,20.8,21.8,1.57,2.57,0,2021-10-19 15:19:00,0,NA,NA
"130","17_E2","E2",17,"A_WT_1000N","WT_7806","Axenic",883,34.7,35.7,2.15,3.15,0,2021-10-19 15:19:00,0,NA,NA
"131","17_B3","B3",17,"X_NIES_1000N","NIES_843","Xenic",883,32.6,33.6,2.88,3.88,0,2021-10-19 15:19:00,0,NA,NA
"132","17_C3","C3",17,"X_MUT_1000N","MUT_7806","Xenic",883,15.4,16.4,0.5,1.5,0,2021-10-19 15:19:00,0,NA,NA
"133","17_D3","D3",17,"A_NIES_1000N","NIES_843","Axenic",883,13.1,14.1,2.13,3.13,0,2021-10-19 15:19:00,0,NA,NA
"134","17_E3","E3",17,"A_9701_1000N","PCC_9701","Axenic",883,20.6,21.6,1.84,2.84,0,2021-10-19 15:19:00,0,NA,NA
"135","17_B4","B4",17,"A_9701_2950N","PCC_9701","Axenic",2760,21,22,1.29,2.29,0,2021-10-19 15:19:00,0,NA,NA
"136","17_C4","C4",17,"A_MUT_2950N","MUT_7806","Axenic",2760,15.9,16.9,2,3,0,2021-10-19 15:19:00,0,NA,NA
"137","17_D4","D4",17,"X_WT_2950N","WT_7806","Xenic",2760,12.7,13.7,2.3,3.3,0,2021-10-19 15:19:00,0,NA,NA
"138","17_E4","E4",17,"X_9701_2950N","PCC_9701","Xenic",2760,22.3,23.3,1.13,2.13,0,2021-10-19 15:19:00,0,NA,NA
"139","17_B5","B5",17,"A_NIES_2950N","NIES_843","Axenic",2760,21.4,22.4,2.34,3.34,0,2021-10-19 15:19:00,0,NA,NA
"140","17_C5","C5",17,"A_WT_2950N","WT_7806","Axenic",2760,9.63,10.63,2.04,3.04,0,2021-10-19 15:19:00,0,NA,NA
"141","17_D5","D5",17,"X_MUT_2950N","MUT_7806","Xenic",2760,32.8,33.8,2.21,3.21,0,2021-10-19 15:19:00,0,NA,NA
"142","17_E5","E5",17,"X_NIES_2950N","NIES_843","Xenic",2760,32.8,33.8,3.09,4.09,0,2021-10-19 15:19:00,0,NA,NA
"143","17_B6","B6",17,"A_9701_30500N","PCC_9701","Axenic",30500,22.4,23.4,2.06,3.06,0,2021-10-19 15:19:00,0,NA,NA
"144","17_C6","C6",17,"X_WT_30500N","WT_7806","Xenic",30500,27.6,28.6,1.64,2.64,0,2021-10-19 15:19:00,0,NA,NA
"145","17_D6","D6",17,"A_WT_30500N","WT_7806","Axenic",30500,28.7,29.7,2,3,0,2021-10-19 15:19:00,0,NA,NA
"146","17_E6","E6",17,"A_NIES_30500N","NIES_843","Axenic",30500,40.5,41.5,2.18,3.18,0,2021-10-19 15:19:00,0,NA,NA
"147","17_B7","B7",17,"A_MUT_30500N","MUT_7806","Axenic",30500,28.1,29.1,1.63,2.63,0,2021-10-19 15:19:00,0,NA,NA
"148","17_C7","C7",17,"X_NIES_30500N","NIES_843","Xenic",30500,27.8,28.8,3.17,4.17,0,2021-10-19 15:19:00,0,NA,NA
"149","17_D7","D7",17,"X_MUT_30500N","MUT_7806","Xenic",30500,21,22,2.09,3.09,0,2021-10-19 15:19:00,0,NA,NA
"150","17_E7","E7",17,"X_9701_30500N","PCC_9701","Xenic",30500,37.6,38.6,0.875,1.875,0,2021-10-19 15:19:00,0,NA,NA
"151","18_B1","B1",18,"BLANK","Media_CTRL",NA,NA,15.4,16.4,1.75,2.75,0,2021-10-19 15:06:00,0,NA,NA
"152","18_B2","B2",18,"A_WT_30500N","WT_7806","Axenic",30500,26.8,27.8,1.11,2.11,0,2021-10-19 15:06:00,0,NA,NA
"153","18_C2","C2",18,"A_NIES_30500N","NIES_843","Axenic",30500,16.7,17.7,2,3,0,2021-10-19 15:06:00,0,NA,NA
"154","18_D2","D2",18,"A_9701_30500N","PCC_9701","Axenic",30500,24.4,25.4,1.4,2.4,0,2021-10-19 15:06:00,0,NA,NA
"155","18_E2","E2",18,"X_MUT_30500N","MUT_7806","Xenic",30500,31.5,32.5,2.69,3.69,0,2021-10-19 15:06:00,0,NA,NA
"156","18_B3","B3",18,"X_NIES_30500N","NIES_843","Xenic",30500,40.3,41.3,2.82,3.82,0,2021-10-19 15:06:00,0,NA,NA
"157","18_C3","C3",18,"A_MUT_30500N","MUT_7806","Axenic",30500,19,20,1.69,2.69,0,2021-10-19 15:06:00,0,NA,NA
"158","18_D3","D3",18,"X_9701_30500N","PCC_9701","Xenic",30500,10.3,11.3,2.5,3.5,0,2021-10-19 15:06:00,0,NA,NA
"159","18_E3","E3",18,"X_WT_30500N","WT_7806","Xenic",30500,25.6,26.6,2.39,3.39,0,2021-10-19 15:06:00,0,NA,NA
"160","18_B4","B4",18,"X_9701_1000N","PCC_9701","Xenic",883,10.1,11.1,1.79,2.79,0,2021-10-19 15:06:00,0,NA,NA
"161","18_C4","C4",18,"X_WT_1000N","WT_7806","Xenic",883,38.4,39.4,2.46,3.46,0,2021-10-19 15:06:00,0,NA,NA
"162","18_D4","D4",18,"A_MUT_1000N","MUT_7806","Axenic",883,31,32,1.81,2.81,0,2021-10-19 15:06:00,0,NA,NA
"163","18_E4","E4",18,"X_NIES_1000N","NIES_843","Xenic",883,40,41,2.93,3.93,0,2021-10-19 15:06:00,0,NA,NA
"164","18_B5","B5",18,"A_NIES_1000N","NIES_843","Axenic",883,30.5,31.5,1.5,2.5,0,2021-10-19 15:06:00,0,NA,NA
"165","18_C5","C5",18,"A_WT_1000N","WT_7806","Axenic",883,27.2,28.2,1.94,2.94,0,2021-10-19 15:06:00,0,NA,NA
"166","18_D5","D5",18,"A_9701_1000N","PCC_9701","Axenic",883,23.2,24.2,2.17,3.17,0,2021-10-19 15:06:00,0,NA,NA
"167","18_E5","E5",18,"X_MUT_1000N","MUT_7806","Xenic",883,19.9,20.9,2.75,3.75,0,2021-10-19 15:06:00,0,NA,NA
"168","18_B6","B6",18,"X_WT_100N","WT_7806","Xenic",87,23.4,24.4,2.29,3.29,0,2021-10-19 15:06:00,0,NA,NA
"169","18_C6","C6",18,"X_9701_100N","PCC_9701","Xenic",87,20.9,21.9,1.35,2.35,0,2021-10-19 15:06:00,0,NA,NA
"170","18_D6","D6",18,"X_MUT_100N","MUT_7806","Xenic",87,39.1,40.1,2.67,3.67,0,2021-10-19 15:06:00,0,NA,NA
"171","18_E6","E6",18,"A_9701_100N","PCC_9701","Axenic",87,22.6,23.6,1,2,0,2021-10-19 15:06:00,0,NA,NA
"172","18_B7","B7",18,"A_NIES_100N","NIES_843","Axenic",87,28.3,29.3,1.61,2.61,0,2021-10-19 15:06:00,0,NA,NA
"173","18_C7","C7",18,"A_MUT_100N","MUT_7806","Axenic",87,17.1,18.1,1.79,2.79,0,2021-10-19 15:06:00,0,NA,NA
"174","18_D7","D7",18,"A_WT_100N","WT_7806","Axenic",87,40.9,41.9,1.66,2.66,0,2021-10-19 15:06:00,0,NA,NA
"175","18_E7","E7",18,"X_NIES_100N","NIES_843","Xenic",87,26.1,27.1,4.5,5.5,0,2021-10-19 15:06:00,0,NA,NA
"176","19_B1","B1",19,"BLANK","Media_CTRL",NA,NA,8.17,9.17,1.21,2.21,0,2021-10-19 14:40:00,0,NA,NA
"177","19_B2","B2",19,"X_9701_14150N","PCC_9701","Xenic",14150,25.2,26.2,2.63,3.63,0,2021-10-19 14:40:00,0,NA,NA
"178","19_C2","C2",19,"X_WT_14150N","WT_7806","Xenic",14150,23.9,24.9,2.71,3.71,0,2021-10-19 14:40:00,0,NA,NA
"179","19_D2","D2",19,"A_MUT_14150N","MUT_7806","Axenic",14150,25.8,26.8,3.44,4.44,0,2021-10-19 14:40:00,0,NA,NA
"180","19_E2","E2",19,"X_MUT_14150N","MUT_7806","Xenic",14150,24.5,25.5,1.83,2.83,0,2021-10-19 14:40:00,0,NA,NA
"181","19_B3","B3",19,"A_9701_14150N","PCC_9701","Axenic",14150,16.1,17.1,0.583,1.583,0,2021-10-19 14:40:00,0,NA,NA
"182","19_C3","C3",19,"A_WT_14150N","WT_7806","Axenic",14150,32.8,33.8,1.82,2.82,0,2021-10-19 14:40:00,0,NA,NA
"183","19_D3","D3",19,"X_NIES_14150N","NIES_843","Xenic",14150,43.5,44.5,3.08,4.08,0,2021-10-19 14:40:00,0,NA,NA
"184","19_E3","E3",19,"A_NIES_14150N","NIES_843","Axenic",14150,21.7,22.7,1.94,2.94,0,2021-10-19 14:40:00,0,NA,NA
