Treatment_name,Well,Plate,Culture,State,Media type,P_ug_L,N_ug_L
X_NIES_100P,E2,22,NIES_843,Xenic,COMBO,100,14000
A_NIES_100P,E3,22,NIES_843,Axenic,COMBO,100,14000
X_WT_310P,E4,22,WT_7806,Xenic,COMBO,309.5,14000
X_MUT_310P,E5,22,MUT_7806,Xenic,COMBO,309.5,14000
A_WT_1P,E6,22,WT_7806,Axenic,COMBO,1.1,14000
A_9701_1P,E7,22,PCC_9701,Axenic,COMBO,1.1,14000
BLANK,E8,22,Media_CTRL,,COMBO,,
BLANK,B1,23,Media_CTRL,,COMBO,,
X_9701_48P,B3,23,PCC_9701,Xenic,COMBO,47.6,14000
A_WT_10P,B4,23,WT_7806,Axenic,COMBO,9.6,14000
X_NIES_10P,B5,23,NIES_843,Xenic,COMBO,9.6,14000
X_MUT_19P,B6,23,MUT_7806,Xenic,COMBO,18.7,14000
A_NIES_19P,B7,23,NIES_843,Axenic,COMBO,18.7,14000
BLANK,B8,23,Media_CTRL,,COMBO,,
X_WT_48P,C2,23,WT_7806,Xenic,COMBO,47.6,14000
X_MUT_48P,C3,23,MUT_7806,Xenic,COMBO,47.6,14000
A_MUT_10P,C4,23,MUT_7806,Axenic,COMBO,9.6,14000
X_WT_10P,C5,23,WT_7806,Xenic,COMBO,9.6,14000
X_NIES_19P,C6,23,NIES_843,Xenic,COMBO,18.7,14000
A_9701_19P,C7,23,PCC_9701,Axenic,COMBO,18.7,14000
A_WT_48P,D2,23,WT_7806,Axenic,COMBO,47.6,14000
X_NIES_48P,D3,23,NIES_843,Xenic,COMBO,47.6,14000
X_9701_10P,D4,23,PCC_9701,Xenic,COMBO,9.6,14000
X_MUT_10P,D5,23,MUT_7806,Xenic,COMBO,9.6,14000
A_MUT_19P,D6,23,MUT_7806,Axenic,COMBO,18.7,14000
X_9701_19P,D7,23,PCC_9701,Xenic,COMBO,18.7,14000
BLANK,E1,23,Media_CTRL,,COMBO,,
A_MUT_48P,E2,23,MUT_7806,Axenic,COMBO,47.6,14000
A_9701_48P,E3,23,PCC_9701,Axenic,COMBO,47.6,14000
A_NIES_10P,E4,23,NIES_843,Axenic,COMBO,9.6,14000
A_9701_10P,E5,23,PCC_9701,Axenic,COMBO,9.6,14000
X_WT_19P,E6,23,WT_7806,Xenic,COMBO,18.7,14000
A_WT_19P,E7,23,WT_7806,Axenic,COMBO,18.7,14000
BLANK,E8,23,Media_CTRL,,COMBO,,
BLANK,B1,24,Media_CTRL,,COMBO,,
X_9701_19P,B2,24,PCC_9701,Xenic,COMBO,18.7,14000
A_NIES_19P,B3,24,NIES_843,Axenic,COMBO,18.7,14000
A_WT_171P,B4,24,WT_7806,Axenic,COMBO,171.1,14000
A_MUT_171P,B5,24,MUT_7806,Axenic,COMBO,171.1,14000
A_NIES_1551P,B6,24,NIES_843,Axenic,COMBO,1551.6,14000
X_MUT_1551P,B7,24,MUT_7806,Xenic,COMBO,1551.6,14000
BLANK,B8,24,Media_CTRL,,COMBO,,
X_MUT_19P,C2,24,MUT_7806,Xenic,COMBO,18.7,14000
X_WT_19P,C3,24,WT_7806,Xenic,COMBO,18.7,14000
X_NIES_171P,C4,24,NIES_843,Xenic,COMBO,171.1,14000
X_MUT_171P,C5,24,MUT_7806,Xenic,COMBO,171.1,14000
A_WT_1551P,C6,24,WT_7806,Axenic,COMBO,1551.6,14000
A_9701_1551P,C7,24,PCC_9701,Axenic,COMBO,1551.6,14000
A_9701_19P,D2,24,PCC_9701,Axenic,COMBO,18.7,14000
A_WT_19P,D3,24,WT_7806,Axenic,COMBO,18.7,14000
A_NIES_171P,D4,24,NIES_843,Axenic,COMBO,171.1,14000
X_WT_171P,D5,24,WT_7806,Xenic,COMBO,171.1,14000
X_WT_1551P,D6,24,WT_7806,Xenic,COMBO,1551.6,14000
X_9701_1551P,D7,24,PCC_9701,Xenic,COMBO,1551.6,14000
BLANK,E1,24,Media_CTRL,,COMBO,,
A_MUT_19P,E2,24,MUT_7806,Axenic,COMBO,18.7,14000
X_NIES_19P,E3,24,NIES_843,Xenic,COMBO,18.7,14000
X_9701_171P,E4,24,PCC_9701,Xenic,COMBO,171.1,14000
A_9701_171P,E5,24,PCC_9701,Axenic,COMBO,171.1,14000
X_NIES_1551P,E6,24,NIES_843,Xenic,COMBO,1551.6,14000
A_MUT_1551P,E7,24,MUT_7806,Axenic,COMBO,1551.6,14000
BLANK,E8,24,Media_CTRL,,COMBO,,
BLANK,B1,25,Media_CTRL,,COMBO,,
X_WT_3030P,B2,25,WT_7806,Xenic,COMBO,3030,14000
X_NIES_3030P,B3,25,NIES_843,Xenic,COMBO,3030,14000
A_9701_48P,B4,25,PCC_9701,Axenic,COMBO,47.6,14000
A_NIES_48P,B5,25,NIES_843,Axenic,COMBO,47.6,14000
A_9701_310P,B6,25,PCC_9701,Axenic,COMBO,309.5,14000
A_MUT_310P,B7,25,MUT_7806,Axenic,COMBO,309.5,14000
BLANK,B8,25,Media_CTRL,,COMBO,,
X_9701_3030P,C2,25,PCC_9701,Xenic,COMBO,3030,14000
X_MUT_3030P,C3,25,MUT_7806,Xenic,COMBO,3030,14000
A_MUT_48P,C4,25,MUT_7806,Axenic,COMBO,47.6,14000
A_WT_48P,C5,25,WT_7806,Axenic,COMBO,47.6,14000
X_WT_310P,C6,25,WT_7806,Xenic,COMBO,309.5,14000
X_NIES_310P,C7,25,NIES_843,Xenic,COMBO,309.5,14000
A_MUT_3030P,D2,25,MUT_7806,Axenic,COMBO,3030,14000
A_NIES_3030P,D3,25,NIES_843,Axenic,COMBO,3030,14000
X_WT_48P,D4,25,WT_7806,Xenic,COMBO,47.6,14000
X_MUT_48P,D5,25,MUT_7806,Xenic,COMBO,47.6,14000
A_WT_310P,D6,25,WT_7806,Axenic,COMBO,309.5,14000
