"","Culture","State","P_ug_L","Plate","Well","Treatment_name","gr_chlA_mean","gr_PC_mean","gr_chlA_sd","gr_pc_sd","n_obs","gr_chlA_se","gr_pc_se","chlA_upper_cl","chlA_lower_cl","pc_upper_cl","pc_lower_cl","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","slope","growthrate_corrected","gr_pc_se_corrected"
"15","MUT_7806","Axenic",100,27,"C5","A_MUT_100P",0.341122374966576,0.499609210017092,0.238037620448411,0.0606147278656666,5,0.106453660104988,0.0271077303890562,0.447576035071564,0.234668714861588,0.526716940406149,0.472501479628036,0.394510207299084,0.384795711767972,-0.00971449553111195,164.63085703928,3.80964139467602e-16,8.27703939427751,0.3900733715184,Inf,"Welch Two Sample t-test","greater",0.384795711767972,0.499609210017092,0.0271077303890562
"16","MUT_7806","Axenic",171.1,21,"C6","A_MUT_171P",0.481967274864185,0.527910677510106,0.102501868895861,0.0924483588859957,5,0.0458402293343835,0.0413441629754766,0.527807504198569,0.436127045529802,0.569254840485583,0.486566514534629,0.414976779881524,0.405262284350412,-0.00971449553111195,57.2235720223626,6.59584490828401e-05,2.2500216110752,0.395322034840226,Inf,"Welch Two Sample t-test","greater",0.405262284350412,0.527910677510106,0.0413441629754766
"17","MUT_7806","Axenic",171.1,24,"B5","A_MUT_171P",0.417063173644942,0.490805829415139,0.106037765940844,0.0860118647660848,5,0.0474215305651879,0.0384656752976969,0.46448470421013,0.369641643079754,0.529271504712835,0.452340154117442,0.414976779881524,0.405262284350412,-0.00971449553111195,57.2235720223626,6.59584490828401e-05,2.2500216110752,0.395322034840226,Inf,"Welch Two Sample t-test","greater",0.405262284350412,0.490805829415139,0.0384656752976969
"18","MUT_7806","Axenic",171.1,27,"D2","A_MUT_171P",0.265626164987275,0.549374309653943,0.259749903194,0.0472281635151854,5,0.116163688138155,0.021121076814486,0.38178985312543,0.149462476849121,0.570495386468429,0.528253232839457,0.414976779881524,0.405262284350412,-0.00971449553111195,57.2235720223626,6.59584490828401e-05,2.2500216110752,0.395322034840226,Inf,"Welch Two Sample t-test","greater",0.405262284350412,0.549374309653943,0.021121076814486
"19","MUT_7806","Axenic",309.5,22,"D5","A_MUT_310P",0.352321116846132,0.52446189534141,0.111103741156152,0.180504513854752,5,0.0496871035559394,0.0807240726449557,0.402008220402072,0.302634013290193,0.605185967986366,0.443737822696454,0.406091607620077,0.396377112088965,-0.00971449553111195,113.099586004947,1.7567114345609e-07,3.38803484092486,0.3980220065336,Inf,"Welch Two Sample t-test","greater",0.396377112088965,0.52446189534141,0.0807240726449557
"20","MUT_7806","Axenic",309.5,25,"B7","A_MUT_310P",0.419071106021524,0.537082540976272,0.0986746933789645,0.0782301482093428,5,0.0441286644108626,0.0349855858571948,0.463199770432387,0.374942441610662,0.572068126833467,0.502096955119077,0.406091607620077,0.396377112088965,-0.00971449553111195,113.099586004947,1.7567114345609e-07,3.38803484092486,0.3980220065336,Inf,"Welch Two Sample t-test","greater",0.396377112088965,0.537082540976272,0.0349855858571948
"21","MUT_7806","Axenic",309.5,26,"C3","A_MUT_310P",0.381874612711125,0.52024629099236,0.160296358389074,0.102999931119281,5,0.0716867107807276,0.0460629695321014,0.453561323491853,0.310187901930397,0.566309260524461,0.474183321460258,0.406091607620077,0.396377112088965,-0.00971449553111195,113.099586004947,1.7567114345609e-07,3.38803484092486,0.3980220065336,Inf,"Welch Two Sample t-test","greater",0.396377112088965,0.52024629099236,0.0460629695321014
"22","MUT_7806","Axenic",1551.6,24,"E7","A_MUT_1551P",0.371715817377154,0.486377463477651,0.0757025958510837,0.127376566688012,5,0.0338552300792433,0.0569645323709859,0.405571047456398,0.337860587297911,0.543341995848637,0.429412931106666,0.39950576798677,0.389791272455658,-0.00971449553111195,33.6759855661652,0.000342210641995462,2.08841220209371,0.365844990898447,Inf,"Welch Two Sample t-test","greater",0.389791272455658,0.486377463477651,0.0569645323709859
"23","MUT_7806","Axenic",1551.6,26,"D4","A_MUT_1551P",0.256110563473752,0.566462390676463,0.180684287390013,0.176161830444949,5,0.0808044698140353,0.0787819655831394,0.336915033287787,0.175306093659717,0.645244356259602,0.487680425093323,0.39950576798677,0.389791272455658,-0.00971449553111195,33.6759855661652,0.000342210641995462,2.08841220209371,0.365844990898447,Inf,"Welch Two Sample t-test","greater",0.389791272455658,0.566462390676463,0.0787819655831394
"24","MUT_7806","Axenic",1551.6,28,"D2","A_MUT_1551P",0.274755152293581,0.609697363043081,0.279746479954596,0.0397308196773207,5,0.125106429128952,0.0177681627200551,0.399861581422533,0.149648723164629,0.627465525763136,0.591929200323025,0.39950576798677,0.389791272455658,-0.00971449553111195,33.6759855661652,0.000342210641995462,2.08841220209371,0.365844990898447,Inf,"Welch Two Sample t-test","greater",0.389791272455658,0.609697363043081,0.0177681627200551
"25","MUT_7806","Axenic",3030,21,"C4","A_MUT_3030P",0.372046954051217,0.504844388790332,0.0769840139203127,0.0560424182056883,5,0.0344282976613218,0.0250629313462782,0.406475251712539,0.337618656389895,0.52990732013661,0.479781457444054,0.396679098600781,0.38696460306967,-0.00971449553111195,142.643651794658,6.41186272313782e-11,5.24605185939916,0.391132969962674,Inf,"Welch Two Sample t-test","greater",0.38696460306967,0.504844388790332,0.0250629313462782
"26","MUT_7806","Axenic",3030,25,"D2","A_MUT_3030P",0.246878502375497,0.537130349800457,0.289578959419855,0.0753397083897639,5,0.12950364762329,0.0336929418729047,0.376382149998787,0.117374854752207,0.570823291673361,0.503437407927552,0.396679098600781,0.38696460306967,-0.00971449553111195,142.643651794658,6.41186272313782e-11,5.24605185939916,0.391132969962674,Inf,"Welch Two Sample t-test","greater",0.38696460306967,0.537130349800457,0.0336929418729047
"27","MUT_7806","Axenic",3030,28,"B6","A_MUT_3030P",0.34401386854815,0.489065617952382,0.188374623412749,0.0970954040899736,5,0.0842436926373661,0.0434223847695984,0.428257561185516,0.259770175910783,0.53248800272198,0.445643233182783,0.396679098600781,0.38696460306967,-0.00971449553111195,142.643651794658,6.41186272313782e-11,5.24605185939916,0.391132969962674,Inf,"Welch Two Sample t-test","greater",0.38696460306967,0.489065617952382,0.0434223847695984
"28","MUT_7806","Xenic",1.1,20,"B3","X_MUT_1P",-0.108661832113223,0.197542910770175,0.341004613467256,0.0541277559331871,5,0.152501899270765,0.0242066683472248,0.0438400671575416,-0.261163731383988,0.221749579117399,0.17333624242295,0.082549560267232,0.0728350647361201,-0.00971449553111195,9.30128459550531,0.00440432360884576,2.1620685276421,0.0579118602991341,Inf,"Welch Two Sample t-test","greater",0.0728350647361201,0.197542910770175,0.0242066683472248
"29","MUT_7806","Xenic",1.1,22,"C7","X_MUT_1P",-0.173437064051995,0.160513521094901,0.290028397224948,0.0664376750825447,5,0.129704642320059,0.0297118315503228,-0.0437324217319364,-0.303141706372054,0.190225352645223,0.130801689544578,0.082549560267232,0.0728350647361201,-0.00971449553111195,9.30128459550531,0.00440432360884576,2.1620685276421,0.0579118602991341,Inf,"Welch Two Sample t-test","greater",0.0728350647361201,0.160513521094901,0.0297118315503228
"30","MUT_7806","Xenic",1.1,28,"D5","X_MUT_1P",0.109229803409261,0.213144576302472,0.19105978796866,0.0581328240800073,5,0.0854445347329239,0.0259977892733866,0.194674338142185,0.0237852686763368,0.239142365575859,0.187146787029086,0.082549560267232,0.0728350647361201,-0.00971449553111195,9.30128459550531,0.00440432360884576,2.1620685276421,0.0579118602991341,Inf,"Welch Two Sample t-test","greater",0.0728350647361201,0.213144576302472,0.0259977892733866
"31","MUT_7806","Xenic",9.6,21,"E3","X_MUT_10P",0.235320493856102,0.382595061660297,0.165498802216188,0.0828323246886878,5,0.0740133143900378,0.037043741747648,0.309333808246139,0.161307179466064,0.419638803407945,0.345551319912649,0.262182300311784,0.252467804780672,-0.00971449553111195,27.9650068570382,0.000434847545984069,2.14435175245453,0.236022642664383,Inf,"Welch Two Sample t-test","greater",0.252467804780672,0.382595061660297,0.037043741747648
"32","MUT_7806","Xenic",9.6,23,"D5","X_MUT_10P",0.118687631172119,0.442388084442234,0.415654096910101,0.0711468705880567,5,0.185886163163454,0.0318178478042551,0.304573794335573,-0.0671985319913352,0.474205932246489,0.410570236637979,0.262182300311784,0.252467804780672,-0.00971449553111195,27.9650068570382,0.000434847545984069,2.14435175245453,0.236022642664383,Inf,"Welch Two Sample t-test","greater",0.252467804780672,0.442388084442234,0.0318178478042551
"33","MUT_7806","Xenic",9.6,27,"C6","X_MUT_10P",0.191679572713273,0.431039189061169,0.0963525004613658,0.0812524556800795,5,0.0430901481667387,0.0363372028478893,0.234769720880011,0.148589424546534,0.467376391909058,0.39470198621328,0.262182300311784,0.252467804780672,-0.00971449553111195,27.9650068570382,0.000434847545984069,2.14435175245453,0.236022642664383,Inf,"Welch Two Sample t-test","greater",0.252467804780672,0.431039189061169,0.0363372028478893
