Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.813,11.1,11/8/2021 14:28
,,E1,0,11.2,
,,B8,0.75,9.75,
,,E8,0.938,20.8,
SPL1,,B2,31.9,5238,11/8/2021 14:28
SPL2,,C2,1545,6987,11/8/2021 14:28
SPL3,,D2,862,4349,11/8/2021 14:28
SPL4,,E2,1078,7883,11/8/2021 14:28
SPL5,,B3,460,3374,11/8/2021 14:28
SPL6,,C3,260,1328,11/8/2021 14:28
SPL7,,D3,660,5040,11/8/2021 14:28
SPL8,,E3,542,5140,11/8/2021 14:28
SPL9,,B4,1.54,79.8,11/8/2021 14:28
SPL10,,C4,16.7,114,11/8/2021 14:28
SPL11,,D4,0.969,14.9,11/8/2021 14:28
SPL12,,E4,18,78.1,11/8/2021 14:28
SPL13,,B5,2.56,67.1,11/8/2021 14:28
SPL14,,C5,2.08,10.3,11/8/2021 14:28
SPL15,,D5,4,122,11/8/2021 14:28
SPL16,,E5,1.89,30.8,11/8/2021 14:28
SPL17,,B6,2.68,23.5,11/8/2021 14:28
SPL18,,C6,2.71,24.1,11/8/2021 14:28
SPL19,,D6,2.04,21,11/8/2021 14:28
SPL20,,E6,1.75,18.8,11/8/2021 14:28
SPL21,,B7,1,15.8,11/8/2021 14:28
SPL22,,C7,1.75,41.5,11/8/2021 14:28
SPL23,,D7,4.09,44.3,11/8/2021 14:28
SPL24,,E7,2.44,49.2,11/8/2021 14:28
