Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.417,17.6,10/26/2021 13:15
,,E1,0.667,36,
,,B8,0.5,23.8,
,,E8,0.536,14.8,
SPL1,,B2,20.6,128,10/26/2021 13:15
SPL2,,C2,24,120,10/26/2021 13:15
SPL3,,D2,3.11,26.8,10/26/2021 13:15
SPL4,,E2,24.8,150,10/26/2021 13:15
SPL5,,B3,9.22,81.1,10/26/2021 13:15
SPL6,,C3,1.55,24.1,10/26/2021 13:15
SPL7,,D3,25.1,160,10/26/2021 13:15
SPL8,,E3,28.4,192,10/26/2021 13:15
SPL9,,B4,1.05,42.5,10/26/2021 13:15
SPL10,,C4,0.85,17.4,10/26/2021 13:15
SPL11,,D4,0.75,22.1,10/26/2021 13:15
SPL12,,E4,1,18.3,10/26/2021 13:15
SPL13,,B5,3,39,10/26/2021 13:15
SPL14,,C5,0.938,26.6,10/26/2021 13:15
SPL15,,D5,0.688,22.9,10/26/2021 13:15
SPL16,,E5,0.667,23.8,10/26/2021 13:15
SPL17,,B6,1.82,19.6,10/26/2021 13:15
SPL18,,C6,1.75,29,10/26/2021 13:15
SPL19,,D6,1.69,37.2,10/26/2021 13:15
SPL20,,E6,1.79,36.9,10/26/2021 13:15
SPL21,,B7,1.25,42.4,10/26/2021 13:15
SPL22,,C7,3.53,48.8,10/26/2021 13:15
SPL23,,D7,1.21,24,10/26/2021 13:15
SPL24,,E7,3,48.1,10/26/2021 13:15
