Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.75,3.08,10/20/2021 10:50
,,E1,0.375,17.9,
,,B8,0.458,19.6,
,,E8,0.5,18.8,
SPL1,,B2,1.89,22.1,10/20/2021 10:50
SPL2,,C2,2.07,19.3,10/20/2021 10:50
SPL3,,D2,2.1,22,10/20/2021 10:50
SPL4,,E2,1.75,16.8,10/20/2021 10:50
SPL5,,B3,1.13,31.8,10/20/2021 10:50
SPL6,,C3,0.5,23,10/20/2021 10:50
SPL7,,D3,2,31,10/20/2021 10:50
SPL8,,E3,1.75,24.9,10/20/2021 10:50
SPL9,,B4,0.6,14.7,10/20/2021 10:50
SPL10,,C4,0.5,27.3,10/20/2021 10:50
SPL11,,D4,0.9,21.4,10/20/2021 10:50
SPL12,,E4,1.33,11.2,10/20/2021 10:50
SPL13,,B5,2.69,21.3,10/20/2021 10:50
SPL14,,C5,1.71,29.8,10/20/2021 10:50
SPL15,,D5,1.11,21.2,10/20/2021 10:50
SPL16,,E5,0.958,23.6,10/20/2021 10:50
SPL17,,B6,0.929,34.3,10/20/2021 10:50
SPL18,,C6,1.34,37.8,10/20/2021 10:50
SPL19,,D6,1.25,6.5,10/20/2021 10:50
SPL20,,E6,1.89,43.4,10/20/2021 10:50
SPL21,,B7,1.18,20.3,10/20/2021 10:50
SPL22,,C7,0.938,37,10/20/2021 10:50
SPL23,,D7,1.05,34.2,10/20/2021 10:50
SPL24,,E7,1.64,15.8,10/20/2021 10:50
