Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.5,15.7,10/31/2021 12:25
,,E1,0.85,11.8,
,,B8,0.393,15.9,
,,E8,0.25,7.7,
SPL1,,B2,19.9,100,10/31/2021 12:25
SPL2,,C2,26.6,157,10/31/2021 12:25
SPL3,,D2,0.875,17.3,10/31/2021 12:25
SPL4,,E2,1.33,28.4,10/31/2021 12:25
SPL5,,B3,38.4,225,10/31/2021 12:25
SPL6,,C3,35.8,203,10/31/2021 12:25
SPL7,,D3,33.7,226,10/31/2021 12:25
SPL8,,E3,0.563,15.3,10/31/2021 12:25
SPL9,,B4,82,415,10/31/2021 12:25
SPL10,,C4,8.56,52.8,10/31/2021 12:25
SPL11,,D4,111,553,10/31/2021 12:25
SPL12,,E4,192,877,10/31/2021 12:25
SPL13,,B5,279,1403,10/31/2021 12:25
SPL14,,C5,9.11,42.2,10/31/2021 12:25
SPL15,,D5,186,956,10/31/2021 12:25
SPL16,,E5,235,1154,10/31/2021 12:25
SPL17,,B6,149,674,10/31/2021 12:25
SPL18,,C6,133,667,10/31/2021 12:25
SPL19,,D6,12.3,51.6,10/31/2021 12:25
SPL20,,E6,317,1454,10/31/2021 12:25
SPL21,,B7,13.1,50,10/31/2021 12:25
SPL22,,C7,275,1382,10/31/2021 12:25
SPL23,,D7,196,1027,10/31/2021 12:25
SPL24,,E7,205,1021,10/31/2021 12:25
