Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.625,12,10/22/2021 11:15
,,E1,0.333,17,
,,B8,0.292,7.95,
,,E8,0.536,19.8,
SPL1,,B2,2.53,32.9,10/22/2021 11:15
SPL2,,C2,5.53,53.9,10/22/2021 11:15
SPL3,,D2,0.75,23.4,10/22/2021 11:15
SPL4,,E2,2.97,47.8,10/22/2021 11:15
SPL5,,B3,1.97,25.8,10/22/2021 11:15
SPL6,,C3,0.5,20.6,10/22/2021 11:15
SPL7,,D3,3.75,38.2,10/22/2021 11:15
SPL8,,E3,3.08,29.1,10/22/2021 11:15
SPL9,,B4,0.708,24.3,10/22/2021 11:15
SPL10,,C4,0.875,11.7,10/22/2021 11:15
SPL11,,D4,0.792,22.9,10/22/2021 11:15
SPL12,,E4,0.667,18.3,10/22/2021 11:15
SPL13,,B5,1.75,26.7,10/22/2021 11:15
SPL14,,C5,0.95,24.1,10/22/2021 11:15
SPL15,,D5,0.714,7.95,10/22/2021 11:15
SPL16,,E5,0.292,27.2,10/22/2021 11:15
SPL17,,B6,1.04,21.4,10/22/2021 11:15
SPL18,,C6,2.38,34.1,10/22/2021 11:15
SPL19,,D6,1.31,25.6,10/22/2021 11:15
SPL20,,E6,3.64,46.7,10/22/2021 11:15
SPL21,,B7,2.86,30.4,10/22/2021 11:15
SPL22,,C7,2.86,36.9,10/22/2021 11:15
SPL23,,D7,0.375,28.4,10/22/2021 11:15
SPL24,,E7,3.53,24.4,10/22/2021 11:15
