Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.5,19.8,11/5/2021 10:22
,,E1,0.643,14.2,
,,B8,0.583,12.2,
,,E8,0.25,17.6,
SPL1,,B2,97.3,455,11/5/2021 10:22
SPL2,,C2,1034,5570,11/5/2021 10:22
SPL3,,D2,539,2463,11/5/2021 10:22
SPL4,,E2,1308,6350,11/5/2021 10:22
SPL5,,B3,1055,4725,11/5/2021 10:22
SPL6,,C3,211,1096,11/5/2021 10:22
SPL7,,D3,582,3225,11/5/2021 10:22
SPL8,,E3,728,3416,11/5/2021 10:22
SPL9,,B4,10,446,11/5/2021 10:22
SPL10,,C4,91.4,475,11/5/2021 10:22
SPL11,,D4,0.15,17.8,11/5/2021 10:22
SPL12,,E4,29.2,384,11/5/2021 10:22
SPL13,,B5,39.2,688,11/5/2021 10:22
SPL14,,C5,1.86,19.5,11/5/2021 10:22
SPL15,,D5,0.583,27.4,11/5/2021 10:22
SPL16,,E5,42.4,632,11/5/2021 10:22
SPL17,,B6,17,150,11/5/2021 10:22
SPL18,,C6,0.65,72.5,11/5/2021 10:22
SPL19,,D6,7.67,129,11/5/2021 10:22
SPL20,,E6,0.786,19.1,11/5/2021 10:22
SPL21,,B7,6,117,11/5/2021 10:22
SPL22,,C7,0.75,22.6,11/5/2021 10:22
SPL23,,D7,0.6,11.5,11/5/2021 10:22
SPL24,,E7,3.56,60,11/5/2021 10:22
