Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.25,14.3,10/25/2021 13:13
,,E1,0.688,14.1,
,,B8,0.542,8.25,
,,E8,0.65,6.19,
SPL1,,B2,14.2,90.4,10/25/2021 13:13
SPL2,,C2,17.2,88.6,10/25/2021 13:13
SPL3,,D2,2.22,33.2,10/25/2021 13:13
SPL4,,E2,14.3,85.5,10/25/2021 13:13
SPL5,,B3,6.67,59.8,10/25/2021 13:13
SPL6,,C3,1.68,20.6,10/25/2021 13:13
SPL7,,D3,14.9,106,10/25/2021 13:13
SPL8,,E3,17,103,10/25/2021 13:13
SPL9,,B4,0.75,22.3,10/25/2021 13:13
SPL10,,C4,1.07,2.88,10/25/2021 13:13
SPL11,,D4,0.45,10.6,10/25/2021 13:13
SPL12,,E4,0.5,22.6,10/25/2021 13:13
SPL13,,B5,2.67,22.2,10/25/2021 13:13
SPL14,,C5,0.563,38.5,10/25/2021 13:13
SPL15,,D5,0.35,16.6,10/25/2021 13:13
SPL16,,E5,1.25,19.7,10/25/2021 13:13
SPL17,,B6,1.44,23.8,10/25/2021 13:13
SPL18,,C6,2.44,15.5,10/25/2021 13:13
SPL19,,D6,1.67,40,10/25/2021 13:13
SPL20,,E6,1.63,33.5,10/25/2021 13:13
SPL21,,B7,1.79,52,10/25/2021 13:13
SPL22,,C7,5.22,25.6,10/25/2021 13:13
SPL23,,D7,1.38,25.9,10/25/2021 13:13
SPL24,,E7,3.89,42.3,10/25/2021 13:13
