Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.65,2.25,10/28/2021 10:02
,,E1,0.607,16.2,
,,B8,0.313,4.5,
,,E8,0.313,16.8,
SPL1,,B2,27.4,160,10/28/2021 10:02
SPL2,,C2,42.8,200,10/28/2021 10:02
SPL3,,D2,28.2,192,10/28/2021 10:02
SPL4,,E2,4.67,18.6,10/28/2021 10:02
SPL5,,B3,16.2,236,10/28/2021 10:02
SPL6,,C3,34.6,145,10/28/2021 10:02
SPL7,,D3,2.11,21.4,10/28/2021 10:02
SPL8,,E3,17.2,198,10/28/2021 10:02
SPL9,,B4,3.22,37.1,10/28/2021 10:02
SPL10,,C4,75.4,405,10/28/2021 10:02
SPL11,,D4,93.7,521,10/28/2021 10:02
SPL12,,E4,46.3,219,10/28/2021 10:02
SPL13,,B5,5.56,34.6,10/28/2021 10:02
SPL14,,C5,52.3,280,10/28/2021 10:02
SPL15,,D5,41.9,200,10/28/2021 10:02
SPL16,,E5,35.8,200,10/28/2021 10:02
SPL17,,B6,3.38,52.4,10/28/2021 10:02
SPL18,,C6,0.875,16.5,10/28/2021 10:02
SPL19,,D6,2.67,29.9,10/28/2021 10:02
SPL20,,E6,9.78,54.1,10/28/2021 10:02
SPL21,,B7,8.67,66.6,10/28/2021 10:02
SPL22,,C7,0.8,24.5,10/28/2021 10:02
SPL23,,D7,3.31,19.1,10/28/2021 10:02
SPL24,,E7,0.821,22.7,10/28/2021 10:02
