Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.281,8.58,10/22/2021 11:20
,,E1,0.417,11.1,
,,B8,0.406,18.8,
,,E8,0.458,6.42,
SPL1,,B2,0.792,19.6,10/22/2021 11:20
SPL2,,C2,5.22,44.8,10/22/2021 11:20
SPL3,,D2,1.78,25.5,10/22/2021 11:20
SPL4,,E2,3.78,24.6,10/22/2021 11:20
SPL5,,B3,4.67,53.8,10/22/2021 11:20
SPL6,,C3,1,9.75,10/22/2021 11:20
SPL7,,D3,2.89,31.7,10/22/2021 11:20
SPL8,,E3,3.67,54.3,10/22/2021 11:20
SPL9,,B4,0.65,34,10/22/2021 11:20
SPL10,,C4,0.781,38,10/22/2021 11:20
SPL11,,D4,0.594,21,10/22/2021 11:20
SPL12,,E4,1.78,33.1,10/22/2021 11:20
SPL13,,B5,1.14,19.4,10/22/2021 11:20
SPL14,,C5,0.679,33.2,10/22/2021 11:20
SPL15,,D5,0.75,31.3,10/22/2021 11:20
SPL16,,E5,0.813,27.3,10/22/2021 11:20
SPL17,,B6,1.79,30.1,10/22/2021 11:20
SPL18,,C6,0.542,25.4,10/22/2021 11:20
SPL19,,D6,1.21,29.4,10/22/2021 11:20
SPL20,,E6,0.607,30.6,10/22/2021 11:20
SPL21,,B7,0.821,32.8,10/22/2021 11:20
SPL22,,C7,0.375,22.5,10/22/2021 11:20
SPL23,,D7,0.875,33,10/22/2021 11:20
SPL24,,E7,1.56,26.5,10/22/2021 11:20
