Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.5,?????,11/3/2021 10:37
,,E1,0.792,16.2,
,,B8,0.5,1.63,
,,E8,0.25,10.3,
SPL1,,B2,2.19,44.3,11/3/2021 10:37
SPL2,,C2,1.86,30.6,11/3/2021 10:37
SPL3,,D2,1.39,19.8,11/3/2021 10:37
SPL4,,E2,0.625,60.2,11/3/2021 10:37
SPL5,,B3,0.938,28.9,11/3/2021 10:37
SPL6,,C3,1.88,22.1,11/3/2021 10:37
SPL7,,D3,1.03,41.5,11/3/2021 10:37
SPL8,,E3,1.64,35.4,11/3/2021 10:37
SPL9,,B4,2.36,35.8,11/3/2021 10:37
SPL10,,C4,0.5,37.5,11/3/2021 10:37
SPL11,,D4,0.7,20.6,11/3/2021 10:37
SPL12,,E4,1.25,16.9,11/3/2021 10:37
SPL13,,B5,2,27.5,11/3/2021 10:37
SPL14,,C5,3,21.1,11/3/2021 10:37
SPL15,,D5,1.69,24.4,11/3/2021 10:37
SPL16,,E5,0.5,25.2,11/3/2021 10:37
SPL17,,B6,373,2194,11/3/2021 10:37
SPL18,,C6,99.4,525,11/3/2021 10:37
SPL19,,D6,622,3357,11/3/2021 10:37
SPL20,,E6,40.6,160,11/3/2021 10:37
SPL21,,B7,725,3371,11/3/2021 10:37
SPL22,,C7,371,1712,11/3/2021 10:37
SPL23,,D7,735,3327,11/3/2021 10:37
SPL24,,E7,612,2851,11/3/2021 10:37
