Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.5,8.63,10/31/2021 12:30
,,E1,0.375,8.95,
,,B8,0.25,15.7,
,,E8,0.25,5.88,
SPL1,,B2,218,1185,10/31/2021 12:30
SPL2,,C2,106,502,10/31/2021 12:30
SPL3,,D2,6.31,34.4,10/31/2021 12:30
SPL4,,E2,6.53,45.4,10/31/2021 12:30
SPL5,,B3,149,801,10/31/2021 12:30
SPL6,,C3,192,1059,10/31/2021 12:30
SPL7,,D3,249,1085,10/31/2021 12:30
SPL8,,E3,64.6,343,10/31/2021 12:30
SPL9,,B4,3.97,30.8,10/31/2021 12:30
SPL10,,C4,0.875,38.9,10/31/2021 12:30
SPL11,,D4,0.542,37.8,10/31/2021 12:30
SPL12,,E4,1.81,40.9,10/31/2021 12:30
SPL13,,B5,0.708,25.6,10/31/2021 12:30
SPL14,,C5,2.33,43.5,10/31/2021 12:30
SPL15,,D5,1.75,25.5,10/31/2021 12:30
SPL16,,E5,0.667,36.8,10/31/2021 12:30
SPL17,,B6,12.5,280,10/31/2021 12:30
SPL18,,C6,10.2,206,10/31/2021 12:30
SPL19,,D6,12.6,77.1,10/31/2021 12:30
SPL20,,E6,22.8,261,10/31/2021 12:30
SPL21,,B7,11.8,187,10/31/2021 12:30
SPL22,,C7,2.64,131,10/31/2021 12:30
SPL23,,D7,2.64,142,10/31/2021 12:30
SPL24,,E7,5.53,35.6,10/31/2021 12:30
