Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,1.17,152,10/30/2021 11:00
,,E1,0.3,14.5,
,,B8,0.15,13.8,
,,E8,0.5,11.5,
SPL1,,B2,0.625,20,10/30/2021 11:00
SPL2,,C2,2.58,16.5,10/30/2021 11:00
SPL3,,D2,4.25,30.5,10/30/2021 11:00
SPL4,,E2,11.4,92.9,10/30/2021 11:00
SPL5,,B3,0.95,35.5,10/30/2021 11:00
SPL6,,C3,2.88,20.8,10/30/2021 11:00
SPL7,,D3,0.35,21.7,10/30/2021 11:00
SPL8,,E3,1.04,13.6,10/30/2021 11:00
SPL9,,B4,128,580,10/30/2021 11:00
SPL10,,C4,8.19,58.4,10/30/2021 11:00
SPL11,,D4,183,873,10/30/2021 11:00
SPL12,,E4,95.2,487,10/30/2021 11:00
SPL13,,B5,86.2,411,10/30/2021 11:00
SPL14,,C5,246,1149,10/30/2021 11:00
SPL15,,D5,11.2,75.1,10/30/2021 11:00
SPL16,,E5,141,753,10/30/2021 11:00
SPL17,,B6,0.75,15.9,10/30/2021 11:00
SPL18,,C6,1.1,11.4,10/30/2021 11:00
SPL19,,D6,0.917,24.4,10/30/2021 11:00
SPL20,,E6,0.625,10.5,10/30/2021 11:00
SPL21,,B7,0.85,19.3,10/30/2021 11:00
SPL22,,C7,1.42,21.6,10/30/2021 11:00
SPL23,,D7,0.7,25.2,10/30/2021 11:00
SPL24,,E7,0.35,24.9,10/30/2021 11:00
