Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.5,12.1,10/27/2021 10:15
,,E1,1.65,16.9,
,,B8,0.893,13.2,
,,E8,1.65,10,
SPL1,,B2,0.833,17.8,10/27/2021 10:15
SPL2,,C2,0.813,27.3,10/27/2021 10:15
SPL3,,D2,0.75,18.8,10/27/2021 10:15
SPL4,,E2,0.917,22.9,10/27/2021 10:15
SPL5,,B3,1.19,14.6,10/27/2021 10:15
SPL6,,C3,1.1,7.35,10/27/2021 10:15
SPL7,,D3,1.08,16.9,10/27/2021 10:15
SPL8,,E3,1.31,15.5,10/27/2021 10:15
SPL9,,B4,36.1,233,10/27/2021 10:15
SPL10,,C4,28.1,157,10/27/2021 10:15
SPL11,,D4,23.5,111,10/27/2021 10:15
SPL12,,E4,38.1,248,10/27/2021 10:15
SPL13,,B5,36.9,217,10/27/2021 10:15
SPL14,,C5,22.6,130,10/27/2021 10:15
SPL15,,D5,1.21,22.4,10/27/2021 10:15
SPL16,,E5,2.88,15.8,10/27/2021 10:15
SPL17,,B6,26.9,129,10/27/2021 10:15
SPL18,,C6,14.7,97.6,10/27/2021 10:15
SPL19,,D6,26.4,170,10/27/2021 10:15
SPL20,,E6,1.68,27.5,10/27/2021 10:15
SPL21,,B7,41,278,10/27/2021 10:15
SPL22,,C7,38,248,10/27/2021 10:15
SPL23,,D7,2.21,28.8,10/27/2021 10:15
SPL24,,E7,39.7,190,10/27/2021 10:15
