Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.333,8.31,10/30/2021 11:09
,,E1,0.5,14.9,
,,B8,0.85,15.5,
,,E8,0.3,11,
SPL1,,B2,15.1,93.9,10/30/2021 11:09
SPL2,,C2,16.1,112,10/30/2021 11:09
SPL3,,D2,0.333,27.5,10/30/2021 11:09
SPL4,,E2,0.8,24.4,10/30/2021 11:09
SPL5,,B3,27.9,146,10/30/2021 11:09
SPL6,,C3,23.6,110,10/30/2021 11:09
SPL7,,D3,22.4,141,10/30/2021 11:09
SPL8,,E3,0.125,21.7,10/30/2021 11:09
SPL9,,B4,60.6,312,10/30/2021 11:09
SPL10,,C4,6.03,37.4,10/30/2021 11:09
SPL11,,D4,77.1,364,10/30/2021 11:09
SPL12,,E4,122,596,10/30/2021 11:09
SPL13,,B5,195,904,10/30/2021 11:09
SPL14,,C5,5.14,39.2,10/30/2021 11:09
SPL15,,D5,123,623,10/30/2021 11:09
SPL16,,E5,162,799,10/30/2021 11:09
SPL17,,B6,107,487,10/30/2021 11:09
SPL18,,C6,99.1,480,10/30/2021 11:09
SPL19,,D6,8.36,48.7,10/30/2021 11:09
SPL20,,E6,236,1175,10/30/2021 11:09
SPL21,,B7,8.25,48.6,10/30/2021 11:09
SPL22,,C7,207,993,10/30/2021 11:09
SPL23,,D7,135,741,10/30/2021 11:09
SPL24,,E7,126,601,10/30/2021 11:09
