Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,?????,8.31,11/1/2021 13:40
,,E1,0.375,11.9,
,,B8,0.542,18.8,
,,E8,0.417,10.3,
SPL1,,B2,316,1683,11/1/2021 13:40
SPL2,,C2,164,767,11/1/2021 13:40
SPL3,,D2,9.97,78.9,11/1/2021 13:40
SPL4,,E2,9.64,68,11/1/2021 13:40
SPL5,,B3,147,1141,11/1/2021 13:40
SPL6,,C3,273,1477,11/1/2021 13:40
SPL7,,D3,337,1564,11/1/2021 13:40
SPL8,,E3,89.8,508,11/1/2021 13:40
SPL9,,B4,4.64,35.5,11/1/2021 13:40
SPL10,,C4,1.89,17.5,11/1/2021 13:40
SPL11,,D4,0.85,25.4,11/1/2021 13:40
SPL12,,E4,2.08,47.7,11/1/2021 13:40
SPL13,,B5,1.06,26,11/1/2021 13:40
SPL14,,C5,1.16,22.4,11/1/2021 13:40
SPL15,,D5,2.2,29.5,11/1/2021 13:40
SPL16,,E5,1.38,32.8,11/1/2021 13:40
SPL17,,B6,8.08,255,11/1/2021 13:40
SPL18,,C6,9.64,203,11/1/2021 13:40
SPL19,,D6,20.9,106,11/1/2021 13:40
SPL20,,E6,16.3,265,11/1/2021 13:40
SPL21,,B7,9.42,222,11/1/2021 13:40
SPL22,,C7,1.38,138,11/1/2021 13:40
SPL23,,D7,2.56,115,11/1/2021 13:40
SPL24,,E7,6.53,57.8,11/1/2021 13:40
