Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.875,6.65,11/4/2021 11:05
,,E1,1.25,11.5,
,,B8,1.25,19.6,
,,E8,1.21,14.9,
SPL1,,B2,1.19,126,11/4/2021 11:05
SPL2,,C2,2.53,179,11/4/2021 11:05
SPL3,,D2,0.85,132,11/4/2021 11:05
SPL4,,E2,24.4,270,11/4/2021 11:05
SPL5,,B3,5.53,160,11/4/2021 11:05
SPL6,,C3,5.19,232,11/4/2021 11:05
SPL7,,D3,48.5,215,11/4/2021 11:05
SPL8,,E3,5.53,165,11/4/2021 11:05
SPL9,,B4,82.3,430,11/4/2021 11:05
SPL10,,C4,924,4028,11/4/2021 11:05
SPL11,,D4,833,3971,11/4/2021 11:05
SPL12,,E4,795,3452,11/4/2021 11:05
SPL13,,B5,164,993,11/4/2021 11:05
SPL14,,C5,925,4626,11/4/2021 11:05
SPL15,,D5,513,2612,11/4/2021 11:05
SPL16,,E5,703,2499,11/4/2021 11:05
SPL17,,B6,79.2,457,11/4/2021 11:05
SPL18,,C6,1.6,19.2,11/4/2021 11:05
SPL19,,D6,41.2,211,11/4/2021 11:05
SPL20,,E6,52.8,567,11/4/2021 11:05
SPL21,,B7,107,622,11/4/2021 11:05
SPL22,,C7,2,19.4,11/4/2021 11:05
SPL23,,D7,39,218,11/4/2021 11:05
SPL24,,E7,1.38,8.45,11/4/2021 11:05
