Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,1.25,15,10/27/2021 10:19
,,E1,0.375,31.2,
,,B8,0.607,8.92,
,,E8,1.18,25.5,
SPL1,,B2,23.8,151,10/27/2021 10:19
SPL2,,C2,35.4,174,10/27/2021 10:19
SPL3,,D2,20.1,125,10/27/2021 10:19
SPL4,,E2,2.09,30.7,10/27/2021 10:19
SPL5,,B3,35.6,227,10/27/2021 10:19
SPL6,,C3,25.7,125,10/27/2021 10:19
SPL7,,D3,2.54,15.8,10/27/2021 10:19
SPL8,,E3,33.6,188,10/27/2021 10:19
SPL9,,B4,3.07,24.7,10/27/2021 10:19
SPL10,,C4,44.7,260,10/27/2021 10:19
SPL11,,D4,54.9,326,10/27/2021 10:19
SPL12,,E4,33.1,194,10/27/2021 10:19
SPL13,,B5,3.58,29.3,10/27/2021 10:19
SPL14,,C5,36.1,193,10/27/2021 10:19
SPL15,,D5,30.6,152,10/27/2021 10:19
SPL16,,E5,21.1,132,10/27/2021 10:19
SPL17,,B6,3.46,41.6,10/27/2021 10:19
SPL18,,C6,2.08,27.9,10/27/2021 10:19
SPL19,,D6,2.42,36.2,10/27/2021 10:19
SPL20,,E6,7.58,46.5,10/27/2021 10:19
SPL21,,B7,6.69,33.8,10/27/2021 10:19
SPL22,,C7,1.3,22.6,10/27/2021 10:19
SPL23,,D7,2.44,24.1,10/27/2021 10:19
SPL24,,E7,2.81,20.7,10/27/2021 10:19
