Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.5,3.42,11/1/2021 14:03
,,E1,0.333,9.45,
,,B8,0.75,6.63,
,,E8,1.25,10.2,
SPL1,,B2,115,1093,11/1/2021 14:03
SPL2,,C2,174,940,11/1/2021 14:03
SPL3,,D2,32.8,177,11/1/2021 14:03
SPL4,,E2,280,1607,11/1/2021 14:03
SPL5,,B3,104,662,11/1/2021 14:03
SPL6,,C3,12.1,46.3,11/1/2021 14:03
SPL7,,D3,339,1619,11/1/2021 14:03
SPL8,,E3,399,1928,11/1/2021 14:03
SPL9,,B4,4.33,42.8,11/1/2021 14:03
SPL10,,C4,2.29,19.1,11/1/2021 14:03
SPL11,,D4,0.917,21.1,11/1/2021 14:03
SPL12,,E4,2.21,17,11/1/2021 14:03
SPL13,,B5,6.56,64,11/1/2021 14:03
SPL14,,C5,0.5,29.8,11/1/2021 14:03
SPL15,,D5,3.44,42.2,11/1/2021 14:03
SPL16,,E5,1,13.1,11/1/2021 14:03
SPL17,,B6,2.67,47,11/1/2021 14:03
SPL18,,C6,0.821,27.8,11/1/2021 14:03
SPL19,,D6,1.15,38,11/1/2021 14:03
SPL20,,E6,1.33,29,11/1/2021 14:03
SPL21,,B7,1.06,53.7,11/1/2021 14:03
SPL22,,C7,1.93,33.3,11/1/2021 14:03
SPL23,,D7,4.89,28,11/1/2021 14:03
SPL24,,E7,3.56,82.1,11/1/2021 14:03
