Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.429,7.45,10/25/2021 13:34
,,E1,0.313,15.6,
,,B8,0.667,9.31,
,,E8,0.35,25.5,
SPL1,,B2,1.25,20.1,10/25/2021 13:34
SPL2,,C2,2.69,31.6,10/25/2021 13:34
SPL3,,D2,0.542,11.8,10/25/2021 13:34
SPL4,,E2,0.45,24.7,10/25/2021 13:34
SPL5,,B3,1,33.2,10/25/2021 13:34
SPL6,,C3,0.429,18.6,10/25/2021 13:34
SPL7,,D3,0.25,13.6,10/25/2021 13:34
SPL8,,E3,0.15,15.4,10/25/2021 13:34
SPL9,,B4,17.4,111,10/25/2021 13:34
SPL10,,C4,10.4,97.6,10/25/2021 13:34
SPL11,,D4,10.3,44.2,10/25/2021 13:34
SPL12,,E4,18,151,10/25/2021 13:34
SPL13,,B5,17,109,10/25/2021 13:34
SPL14,,C5,9.14,56.7,10/25/2021 13:34
SPL15,,D5,1.05,16.4,10/25/2021 13:34
SPL16,,E5,1.06,13.9,10/25/2021 13:34
SPL17,,B6,12.3,69.8,10/25/2021 13:34
SPL18,,C6,4.25,61.8,10/25/2021 13:34
SPL19,,D6,11.3,91.8,10/25/2021 13:34
SPL20,,E6,0.792,19.8,10/25/2021 13:34
SPL21,,B7,15.9,137,10/25/2021 13:34
SPL22,,C7,15.4,118,10/25/2021 13:34
SPL23,,D7,1.05,16.4,10/25/2021 13:34
SPL24,,E7,16.5,113,10/25/2021 13:34
