Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.563,11.9,10/31/2021 12:20
,,E1,0.583,13.1,
,,B8,0.5,8.75,
,,E8,0.417,2,
SPL1,,B2,0.75,9.75,10/31/2021 12:20
SPL2,,C2,1.75,23.6,10/31/2021 12:20
SPL3,,D2,6.88,53.9,10/31/2021 12:20
SPL4,,E2,15.9,109,10/31/2021 12:20
SPL5,,B3,2.25,25.3,10/31/2021 12:20
SPL6,,C3,3.06,38.2,10/31/2021 12:20
SPL7,,D3,0.25,28.6,10/31/2021 12:20
SPL8,,E3,0.893,30.8,10/31/2021 12:20
SPL9,,B4,165,736,10/31/2021 12:20
SPL10,,C4,11.9,56,10/31/2021 12:20
SPL11,,D4,268,1221,10/31/2021 12:20
SPL12,,E4,139,665,10/31/2021 12:20
SPL13,,B5,113,622,10/31/2021 12:20
SPL14,,C5,361,1695,10/31/2021 12:20
SPL15,,D5,16.2,86.6,10/31/2021 12:20
SPL16,,E5,220,1199,10/31/2021 12:20
SPL17,,B6,1.97,24.4,10/31/2021 12:20
SPL18,,C6,0.667,26.5,10/31/2021 12:20
SPL19,,D6,0.5,15.5,10/31/2021 12:20
SPL20,,E6,0.917,18,10/31/2021 12:20
SPL21,,B7,1,17.8,10/31/2021 12:20
SPL22,,C7,0.893,22.5,10/31/2021 12:20
SPL23,,D7,0.792,20.3,10/31/2021 12:20
SPL24,,E7,0.417,26.8,10/31/2021 12:20
