Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.531,24.4,11/5/2021 10:32
,,E1,0.4,19,
,,B8,0.3,12.2,
,,E8,0.125,8.6,
SPL1,,B2,4.33,60.1,11/5/2021 10:32
SPL2,,C2,3.44,49.6,11/5/2021 10:32
SPL3,,D2,1.56,33.6,11/5/2021 10:32
SPL4,,E2,1.07,28.4,11/5/2021 10:32
SPL5,,B3,0.781,35.3,11/5/2021 10:32
SPL6,,C3,3.33,26.9,11/5/2021 10:32
SPL7,,D3,3.22,30.6,11/5/2021 10:32
SPL8,,E3,2.89,28,11/5/2021 10:32
SPL9,,B4,3.56,42.4,11/5/2021 10:32
SPL10,,C4,0.45,33.9,11/5/2021 10:32
SPL11,,D4,0.688,15.2,11/5/2021 10:32
SPL12,,E4,1.13,24.3,11/5/2021 10:32
SPL13,,B5,4.28,44.8,11/5/2021 10:32
SPL14,,C5,1.89,40.6,11/5/2021 10:32
SPL15,,D5,1.96,29.2,11/5/2021 10:32
SPL16,,E5,0.833,18.9,11/5/2021 10:32
SPL17,,B6,447,2757,11/5/2021 10:32
SPL18,,C6,244,1455,11/5/2021 10:32
SPL19,,D6,1218,5759,11/5/2021 10:32
SPL20,,E6,76.8,265,11/5/2021 10:32
SPL21,,B7,1122,5338,11/5/2021 10:32
SPL22,,C7,694,3113,11/5/2021 10:32
SPL23,,D7,969,4771,11/5/2021 10:32
SPL24,,E7,606,3178,11/5/2021 10:32
