Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.438,13.7,10/30/2021 10:48
,,E1,0.25,8.75,
,,B8,0.719,12.3,
,,E8,0.25,18.1,
SPL1,,B2,0.563,13.6,10/30/2021 10:48
SPL2,,C2,0.688,35.9,10/30/2021 10:48
SPL3,,D2,1.75,22,10/30/2021 10:48
SPL4,,E2,0.438,18.9,10/30/2021 10:48
SPL5,,B3,0.75,18.8,10/30/2021 10:48
SPL6,,C3,1.07,30.6,10/30/2021 10:48
SPL7,,D3,1.13,30.4,10/30/2021 10:48
SPL8,,E3,1.83,11.6,10/30/2021 10:48
SPL9,,B4,19.3,234,10/30/2021 10:48
SPL10,,C4,3.75,168,10/30/2021 10:48
SPL11,,D4,45.8,272,10/30/2021 10:48
SPL12,,E4,12.5,210,10/30/2021 10:48
SPL13,,B5,19.8,289,10/30/2021 10:48
SPL14,,C5,9.75,160,10/30/2021 10:48
SPL15,,D5,5.22,32.5,10/30/2021 10:48
SPL16,,E5,10.4,78.3,10/30/2021 10:48
SPL17,,B6,93.6,418,10/30/2021 10:48
SPL18,,C6,40.1,224,10/30/2021 10:48
SPL19,,D6,84.9,398,10/30/2021 10:48
SPL20,,E6,5.31,38.8,10/30/2021 10:48
SPL21,,B7,160,828,10/30/2021 10:48
SPL22,,C7,169,803,10/30/2021 10:48
SPL23,,D7,7.19,41.4,10/30/2021 10:48
SPL24,,E7,137,735,10/30/2021 10:48
