Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.55,10.1,10/25/2021 13:18
,,E1,0.375,13.9,
,,B8,0.583,13.4,
,,E8,0.375,15.2,
SPL1,,B2,1.79,24.4,10/25/2021 13:18
SPL2,,C2,22.1,147,10/25/2021 13:18
SPL3,,D2,8.31,53.2,10/25/2021 13:18
SPL4,,E2,13.1,96.5,10/25/2021 13:18
SPL5,,B3,20.6,159,10/25/2021 13:18
SPL6,,C3,1.42,20.9,10/25/2021 13:18
SPL7,,D3,12.1,62.3,10/25/2021 13:18
SPL8,,E3,14.5,89,10/25/2021 13:18
SPL9,,B4,1.97,48,10/25/2021 13:18
SPL10,,C4,1.97,33.9,10/25/2021 13:18
SPL11,,D4,1.08,14.1,10/25/2021 13:18
SPL12,,E4,4.64,12.8,10/25/2021 13:18
SPL13,,B5,2.38,39,10/25/2021 13:18
SPL14,,C5,0.75,25.6,10/25/2021 13:18
SPL15,,D5,0.917,9.95,10/25/2021 13:18
SPL16,,E5,2.42,16.6,10/25/2021 13:18
SPL17,,B6,0.929,25.2,10/25/2021 13:18
SPL18,,C6,2.38,27.5,10/25/2021 13:18
SPL19,,D6,2.13,27.1,10/25/2021 13:18
SPL20,,E6,0.75,12.8,10/25/2021 13:18
SPL21,,B7,2.25,30.1,10/25/2021 13:18
SPL22,,C7,0.65,16.5,10/25/2021 13:18
SPL23,,D7,1.13,18.3,10/25/2021 13:18
SPL24,,E7,4.86,35.5,10/25/2021 13:18
