Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,1.25,15.6,10/27/2021 10:35
,,E1,1.5,31.2,
,,B8,0.375,15.8,
,,E8,0.125,34.8,
SPL1,,B2,3.29,41.2,10/27/2021 10:35
SPL2,,C2,2.21,45.6,10/27/2021 10:35
SPL3,,D2,1.69,29.1,10/27/2021 10:35
SPL4,,E2,3.06,28.6,10/27/2021 10:35
SPL5,,B3,1.92,25.2,10/27/2021 10:35
SPL6,,C3,2.05,23.8,10/27/2021 10:35
SPL7,,D3,2.32,13.7,10/27/2021 10:35
SPL8,,E3,2.1,51.5,10/27/2021 10:35
SPL9,,B4,1.75,14.5,10/27/2021 10:35
SPL10,,C4,2.56,10.9,10/27/2021 10:35
SPL11,,D4,1.08,1.5,10/27/2021 10:35
SPL12,,E4,1.5,16.9,10/27/2021 10:35
SPL13,,B5,0.5,36.3,10/27/2021 10:35
SPL14,,C5,1.25,3.5,10/27/2021 10:35
SPL15,,D5,2.33,28.1,10/27/2021 10:35
SPL16,,E5,0.938,23.3,10/27/2021 10:35
SPL17,,B6,26.6,169,10/27/2021 10:35
SPL18,,C6,3.28,14.8,10/27/2021 10:35
SPL19,,D6,47.6,271,10/27/2021 10:35
SPL20,,E6,2.38,18.5,10/27/2021 10:35
SPL21,,B7,60.1,312,10/27/2021 10:35
SPL22,,C7,29.1,176,10/27/2021 10:35
SPL23,,D7,59.5,351,10/27/2021 10:35
SPL24,,E7,31.2,188,10/27/2021 10:35
