Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.25,23.3,10/25/2021 13:39
,,E1,0.65,1.25,
,,B8,0.313,14.9,
,,E8,1.13,10.5,
SPL1,,B2,11.8,90.7,10/25/2021 13:39
SPL2,,C2,16.2,100,10/25/2021 13:39
SPL3,,D2,9.33,63.1,10/25/2021 13:39
SPL4,,E2,2.18,13.8,10/25/2021 13:39
SPL5,,B3,16.8,152,10/25/2021 13:39
SPL6,,C3,13.4,68.6,10/25/2021 13:39
SPL7,,D3,1.63,20.3,10/25/2021 13:39
SPL8,,E3,16,100,10/25/2021 13:39
SPL9,,B4,1.4,28.7,10/25/2021 13:39
SPL10,,C4,19,138,10/25/2021 13:39
SPL11,,D4,22,159,10/25/2021 13:39
SPL12,,E4,12.2,89.3,10/25/2021 13:39
SPL13,,B5,1.5,31,10/25/2021 13:39
SPL14,,C5,15.3,86.9,10/25/2021 13:39
SPL15,,D5,16,88.8,10/25/2021 13:39
SPL16,,E5,9.11,44.8,10/25/2021 13:39
SPL17,,B6,1.36,17.5,10/25/2021 13:39
SPL18,,C6,0.9,27.6,10/25/2021 13:39
SPL19,,D6,1.25,15.8,10/25/2021 13:39
SPL20,,E6,4.78,23.9,10/25/2021 13:39
SPL21,,B7,2.67,24.7,10/25/2021 13:39
SPL22,,C7,0.625,21.3,10/25/2021 13:39
SPL23,,D7,0.8,21.1,10/25/2021 13:39
SPL24,,E7,0.958,15.6,10/25/2021 13:39
