Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,15.6,40.6,12/15/2021 14:02
,,E1,21.9,47.4,
,,B8,18.4,54.4,
,,E8,28,38.8,
SPL1,,B2,710,158,12/15/2021 14:02
SPL2,,C2,983,239,12/15/2021 14:02
SPL3,,D2,856,195,12/15/2021 14:02
SPL4,,E2,460,122,12/15/2021 14:02
SPL5,,B3,444,119,12/15/2021 14:02
SPL6,,C3,533,147,12/15/2021 14:02
SPL7,,D3,454,137,12/15/2021 14:02
SPL8,,E3,463,124,12/15/2021 14:02
SPL9,,B4,595,186,12/15/2021 14:02
SPL10,,C4,490,161,12/15/2021 14:02
SPL11,,D4,469,132,12/15/2021 14:02
SPL12,,E4,516,167,12/15/2021 14:02
SPL13,,B5,706,222,12/15/2021 14:02
SPL14,,C5,1122,303,12/15/2021 14:02
SPL15,,D5,1062,313,12/15/2021 14:02
SPL16,,E5,502,164,12/15/2021 14:02
SPL17,,B6,494,146,12/15/2021 14:02
SPL18,,C6,489,147,12/15/2021 14:02
SPL19,,D6,638,219,12/15/2021 14:02
SPL20,,E6,425,137,12/15/2021 14:02
SPL21,,B7,989,268,12/15/2021 14:02
SPL22,,C7,533,144,12/15/2021 14:02
SPL23,,D7,1077,255,12/15/2021 14:02
SPL24,,E7,611,173,12/15/2021 14:02
