Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,20.1,39.4,12/15/2021 14:21
,,E1,14.8,27.8,
,,B8,24.2,45.6,
,,E8,21.9,38.9,
SPL1,,B2,732,167,12/15/2021 14:21
SPL2,,C2,621,163,12/15/2021 14:21
SPL3,,D2,442,144,12/15/2021 14:21
SPL4,,E2,586,163,12/15/2021 14:21
SPL5,,B3,1051,257,12/15/2021 14:21
SPL6,,C3,608,163,12/15/2021 14:21
SPL7,,D3,992,259,12/15/2021 14:21
SPL8,,E3,597,170,12/15/2021 14:21
SPL9,,B4,644,146,12/15/2021 14:21
SPL10,,C4,435,137,12/15/2021 14:21
SPL11,,D4,526,135,12/15/2021 14:21
SPL12,,E4,674,197,12/15/2021 14:21
SPL13,,B5,1056,270,12/15/2021 14:21
SPL14,,C5,410,122,12/15/2021 14:21
SPL15,,D5,561,164,12/15/2021 14:21
SPL16,,E5,1044,269,12/15/2021 14:21
SPL17,,B6,497,132,12/15/2021 14:21
SPL18,,C6,450,117,12/15/2021 14:21
SPL19,,D6,544,130,12/15/2021 14:21
SPL20,,E6,1125,268,12/15/2021 14:21
SPL21,,B7,512,138,12/15/2021 14:21
SPL22,,C7,1090,295,12/15/2021 14:21
SPL23,,D7,609,164,12/15/2021 14:21
SPL24,,E7,690,174,12/15/2021 14:21
