Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,20.7,31.4,12/11/2021 13:00
,,E1,15.6,40,
,,B8,14.4,53.4,
,,E8,25,46.9,
SPL1,,B2,124,72.8,12/11/2021 13:00
SPL2,,C2,91.7,65.4,12/11/2021 13:00
SPL3,,D2,123,61.7,12/11/2021 13:00
SPL4,,E2,71.9,60.9,12/11/2021 13:00
SPL5,,B3,188,85.2,12/11/2021 13:00
SPL6,,C3,113,64.6,12/11/2021 13:00
SPL7,,D3,82.1,49.4,12/11/2021 13:00
SPL8,,E3,125,64.9,12/11/2021 13:00
SPL9,,B4,108,54,12/11/2021 13:00
SPL10,,C4,159,75.8,12/11/2021 13:00
SPL11,,D4,187,79,12/11/2021 13:00
SPL12,,E4,112,65.7,12/11/2021 13:00
SPL13,,B5,96.4,62.2,12/11/2021 13:00
SPL14,,C5,115,66.6,12/11/2021 13:00
SPL15,,D5,114,61,12/11/2021 13:00
SPL16,,E5,125,50.8,12/11/2021 13:00
SPL17,,B6,185,73.9,12/11/2021 13:00
SPL18,,C6,97.9,65.7,12/11/2021 13:00
SPL19,,D6,144,61.8,12/11/2021 13:00
SPL20,,E6,183,89.1,12/11/2021 13:00
SPL21,,B7,98.8,69.7,12/11/2021 13:00
SPL22,,C7,124,66.2,12/11/2021 13:00
SPL23,,D7,93.2,56.3,12/11/2021 13:00
SPL24,,E7,104,59.6,12/11/2021 13:00
