Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,12.2,39.9,12/16/2021 12:41
,,E1,21.7,50.7,
,,B8,27.9,39.8,
,,E8,183,29.1,
SPL1,,B2,77.2,48.1,12/16/2021 12:41
SPL2,,C2,64.6,48.6,12/16/2021 12:41
SPL3,,D2,60.6,37,12/16/2021 12:41
SPL4,,E2,70.8,47.7,12/16/2021 12:41
SPL5,,B3,101,63.3,12/16/2021 12:41
SPL6,,C3,90.8,43.9,12/16/2021 12:41
SPL7,,D3,94.2,41.2,12/16/2021 12:41
SPL8,,E3,59.8,57.4,12/16/2021 12:41
SPL9,,B4,1011,251,12/16/2021 12:41
SPL10,,C4,528,144,12/16/2021 12:41
SPL11,,D4,575,159,12/16/2021 12:41
SPL12,,E4,1328,322,12/16/2021 12:41
SPL13,,B5,867,228,12/16/2021 12:41
SPL14,,C5,15,54.2,12/16/2021 12:41
SPL15,,D5,545,119,12/16/2021 12:41
SPL16,,E5,658,203,12/16/2021 12:41
SPL17,,B6,799,195,12/16/2021 12:41
SPL18,,C6,602,161,12/16/2021 12:41
SPL19,,D6,653,165,12/16/2021 12:41
SPL20,,E6,765,169,12/16/2021 12:41
SPL21,,B7,1280,328,12/16/2021 12:41
SPL22,,C7,1802,435,12/16/2021 12:41
SPL23,,D7,90.4,40.8,12/16/2021 12:41
SPL24,,E7,1032,262,12/16/2021 12:41
