Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,28.3,29.1,12/20/2021 15:56
,,E1,20.7,34.9,
,,B8,27.9,44.4,
,,E8,26.8,33.1,
SPL1,,B2,2295,748,12/20/2021 15:56
SPL2,,C2,3922,824,12/20/2021 15:56
SPL3,,D2,4656,1069,12/20/2021 15:56
SPL4,,E2,5502,1324,12/20/2021 15:56
SPL5,,B3,2560,752,12/20/2021 15:56
SPL6,,C3,3300,695,12/20/2021 15:56
SPL7,,D3,11045,2213,12/20/2021 15:56
SPL8,,E3,9811,1959,12/20/2021 15:56
SPL9,,B4,126,60.7,12/20/2021 15:56
SPL10,,C4,62.2,49.1,12/20/2021 15:56
SPL11,,D4,63.2,35.2,12/20/2021 15:56
SPL12,,E4,150,47,12/20/2021 15:56
SPL13,,B5,67.6,62.3,12/20/2021 15:56
SPL14,,C5,131,44.4,12/20/2021 15:56
SPL15,,D5,144,61.1,12/20/2021 15:56
SPL16,,E5,160,55,12/20/2021 15:56
SPL17,,B6,4767,1227,12/20/2021 15:56
SPL18,,C6,5216,1292,12/20/2021 15:56
SPL19,,D6,5333,948,12/20/2021 15:56
SPL20,,E6,8985,1986,12/20/2021 15:56
SPL21,,B7,2198,865,12/20/2021 15:56
SPL22,,C7,4105,878,12/20/2021 15:56
SPL23,,D7,3856,943,12/20/2021 15:56
SPL24,,E7,8421,1817,12/20/2021 15:56
