Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,21.8,38.6,12/23/2021 12:03
,,E1,26.7,48.7,
,,B8,28.6,41.6,
,,E8,20.3,34,
SPL1,,B2,8865,1483,12/23/2021 12:03
SPL2,,C2,12590,2792,12/23/2021 12:03
SPL3,,D2,16094,3248,12/23/2021 12:03
SPL4,,E2,17288,3304,12/23/2021 12:03
SPL5,,B3,6059,1726,12/23/2021 12:03
SPL6,,C3,9377,1979,12/23/2021 12:03
SPL7,,D3,23465,4131,12/23/2021 12:03
SPL8,,E3,18421,3523,12/23/2021 12:03
SPL9,,B4,5796,1214,12/23/2021 12:03
SPL10,,C4,14189,2711,12/23/2021 12:03
SPL11,,D4,5357,1102,12/23/2021 12:03
SPL12,,E4,9440,1759,12/23/2021 12:03
SPL13,,B5,13477,2551,12/23/2021 12:03
SPL14,,C5,10562,1883,12/23/2021 12:03
SPL15,,D5,10408,1800,12/23/2021 12:03
SPL16,,E5,8339,1552,12/23/2021 12:03
SPL17,,B6,3079,412,12/23/2021 12:03
SPL18,,C6,2254,338,12/23/2021 12:03
SPL19,,D6,640,136,12/23/2021 12:03
SPL20,,E6,1003,467,12/23/2021 12:03
SPL21,,B7,512,149,12/23/2021 12:03
SPL22,,C7,2708,427,12/23/2021 12:03
SPL23,,D7,2518,420,12/23/2021 12:03
SPL24,,E7,1040,484,12/23/2021 12:03
