Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,21.4,50,12/8/2021 14:59
,,E1,18.8,46.1,
,,B8,21.2,51.8,
,,E8,27.2,35.9,
SPL1,,B2,46.3,55.1,12/8/2021 14:59
SPL2,,C2,49.4,40.3,12/8/2021 14:59
SPL3,,D2,45.9,42.4,12/8/2021 14:59
SPL4,,E2,44.3,51.2,12/8/2021 14:59
SPL5,,B3,55.9,56.3,12/8/2021 14:59
SPL6,,C3,57.6,51.3,12/8/2021 14:59
SPL7,,D3,38,41.9,12/8/2021 14:59
SPL8,,E3,46.4,59.2,12/8/2021 14:59
SPL9,,B4,49.7,57.4,12/8/2021 14:59
SPL10,,C4,41.6,50,12/8/2021 14:59
SPL11,,D4,46.7,50.4,12/8/2021 14:59
SPL12,,E4,58.7,46.3,12/8/2021 14:59
SPL13,,B5,61.7,61.3,12/8/2021 14:59
SPL14,,C5,55.8,34.1,12/8/2021 14:59
SPL15,,D5,37.4,51.2,12/8/2021 14:59
SPL16,,E5,56.4,60.6,12/8/2021 14:59
SPL17,,B6,42.3,52.7,12/8/2021 14:59
SPL18,,C6,29.1,41.6,12/8/2021 14:59
SPL19,,D6,57.9,40.4,12/8/2021 14:59
SPL20,,E6,56.8,59.8,12/8/2021 14:59
SPL21,,B7,38.2,54.3,12/8/2021 14:59
SPL22,,C7,64.8,75.6,12/8/2021 14:59
SPL23,,D7,41.8,66.7,12/8/2021 14:59
SPL24,,E7,50.1,65.6,12/8/2021 14:59
