Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,22.2,42.4,12/10/2021 14:43
,,E1,17.7,42.2,
,,B8,25,37.8,
,,E8,17.8,30,
SPL1,,B2,107,58.8,12/10/2021 14:43
SPL2,,C2,82,57.9,12/10/2021 14:43
SPL3,,D2,98.4,56.7,12/10/2021 14:43
SPL4,,E2,66.6,45.2,12/10/2021 14:43
SPL5,,B3,130,70.4,12/10/2021 14:43
SPL6,,C3,73.6,52.3,12/10/2021 14:43
SPL7,,D3,103,59.2,12/10/2021 14:43
SPL8,,E3,107,54,12/10/2021 14:43
SPL9,,B4,64.7,45.9,12/10/2021 14:43
SPL10,,C4,102,56.3,12/10/2021 14:43
SPL11,,D4,119,73.6,12/10/2021 14:43
SPL12,,E4,87.4,58.4,12/10/2021 14:43
SPL13,,B5,96.6,52.9,12/10/2021 14:43
SPL14,,C5,93.8,76.2,12/10/2021 14:43
SPL15,,D5,77.2,70.6,12/10/2021 14:43
SPL16,,E5,92.6,54.3,12/10/2021 14:43
SPL17,,B6,143,80.7,12/10/2021 14:43
SPL18,,C6,98.9,50.8,12/10/2021 14:43
SPL19,,D6,102,59,12/10/2021 14:43
SPL20,,E6,133,76.7,12/10/2021 14:43
SPL21,,B7,84.8,54.7,12/10/2021 14:43
SPL22,,C7,86,75.6,12/10/2021 14:43
SPL23,,D7,84.7,63.8,12/10/2021 14:43
SPL24,,E7,77.1,78.1,12/10/2021 14:43
