Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,29,30.3,12/14/2021 14:23
,,E1,24.6,54.1,
,,B8,24,53,
,,E8,19.8,51.6,
SPL1,,B2,392,140,12/14/2021 14:23
SPL2,,C2,362,126,12/14/2021 14:23
SPL3,,D2,261,105,12/14/2021 14:23
SPL4,,E2,372,149,12/14/2021 14:23
SPL5,,B3,457,128,12/14/2021 14:23
SPL6,,C3,241,82,12/14/2021 14:23
SPL7,,D3,541,159,12/14/2021 14:23
SPL8,,E3,600,160,12/14/2021 14:23
SPL9,,B4,394,144,12/14/2021 14:23
SPL10,,C4,632,163,12/14/2021 14:23
SPL11,,D4,465,156,12/14/2021 14:23
SPL12,,E4,291,97.3,12/14/2021 14:23
SPL13,,B5,742,220,12/14/2021 14:23
SPL14,,C5,276,89.9,12/14/2021 14:23
SPL15,,D5,378,123,12/14/2021 14:23
SPL16,,E5,260,93.7,12/14/2021 14:23
SPL17,,B6,282,111,12/14/2021 14:23
SPL18,,C6,344,120,12/14/2021 14:23
SPL19,,D6,404,146,12/14/2021 14:23
SPL20,,E6,576,169,12/14/2021 14:23
SPL21,,B7,465,138,12/14/2021 14:23
SPL22,,C7,391,108,12/14/2021 14:23
SPL23,,D7,285,88.9,12/14/2021 14:23
SPL24,,E7,626,186,12/14/2021 14:23
