Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,16.8,45.7,12/16/2021 12:52
,,E1,19.2,44.4,
,,B8,25,42.1,
,,E8,22.2,37.9,
SPL1,,B2,892,230,12/16/2021 12:52
SPL2,,C2,843,242,12/16/2021 12:52
SPL3,,D2,852,245,12/16/2021 12:52
SPL4,,E2,1612,437,12/16/2021 12:52
SPL5,,B3,696,193,12/16/2021 12:52
SPL6,,C3,908,253,12/16/2021 12:52
SPL7,,D3,665,189,12/16/2021 12:52
SPL8,,E3,1647,395,12/16/2021 12:52
SPL9,,B4,926,214,12/16/2021 12:52
SPL10,,C4,702,142,12/16/2021 12:52
SPL11,,D4,1676,423,12/16/2021 12:52
SPL12,,E4,799,223,12/16/2021 12:52
SPL13,,B5,800,215,12/16/2021 12:52
SPL14,,C5,1609,381,12/16/2021 12:52
SPL15,,D5,700,212,12/16/2021 12:52
SPL16,,E5,862,265,12/16/2021 12:52
SPL17,,B6,88.7,34.2,12/16/2021 12:52
SPL18,,C6,72.8,51.6,12/16/2021 12:52
SPL19,,D6,96.3,49.6,12/16/2021 12:52
SPL20,,E6,143,58.1,12/16/2021 12:52
SPL21,,B7,63.2,45.2,12/16/2021 12:52
SPL22,,C7,127,40.2,12/16/2021 12:52
SPL23,,D7,98.4,40.3,12/16/2021 12:52
SPL24,,E7,86.1,56.4,12/16/2021 12:52
