Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,26.1,34.1,12/22/2021 15:30
,,E1,23.7,42.8,
,,B8,28.8,35.3,
,,E8,16.6,52.6,
SPL1,,B2,9118,1879,12/22/2021 15:30
SPL2,,C2,20907,4131,12/22/2021 15:30
SPL3,,D2,8998,2047,12/22/2021 15:30
SPL4,,E2,10854,2437,12/22/2021 15:30
SPL5,,B3,24956,4479,12/22/2021 15:30
SPL6,,C3,11077,2478,12/22/2021 15:30
SPL7,,D3,7737,1760,12/22/2021 15:30
SPL8,,E3,9906,2045,12/22/2021 15:30
SPL9,,B4,7721,1312,12/22/2021 15:30
SPL10,,C4,6493,1389,12/22/2021 15:30
SPL11,,D4,10556,2318,12/22/2021 15:30
SPL12,,E4,20051,3509,12/22/2021 15:30
SPL13,,B5,16771,3165,12/22/2021 15:30
SPL14,,C5,6208,1209,12/22/2021 15:30
SPL15,,D5,5871,1457,12/22/2021 15:30
SPL16,,E5,11255,2363,12/22/2021 15:30
SPL17,,B6,6400,1310,12/22/2021 15:30
SPL18,,C6,4699,1027,12/22/2021 15:30
SPL19,,D6,7626,1510,12/22/2021 15:30
SPL20,,E6,5558,1085,12/22/2021 15:30
SPL21,,B7,12068,2359,12/22/2021 15:30
SPL22,,C7,8324,1753,12/22/2021 15:30
SPL23,,D7,6798,1368,12/22/2021 15:30
SPL24,,E7,12181,2439,12/22/2021 15:30
