Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,13.2,40.7,12/11/2021 13:05
,,E1,14.1,43.4,
,,B8,18.6,56.7,
,,E8,17.4,42.3,
SPL1,,B2,114,41.4,12/11/2021 13:05
SPL2,,C2,112,57.3,12/11/2021 13:05
SPL3,,D2,75.1,54.1,12/11/2021 13:05
SPL4,,E2,74.2,68.2,12/11/2021 13:05
SPL5,,B3,155,75.8,12/11/2021 13:05
SPL6,,C3,114,61,12/11/2021 13:05
SPL7,,D3,155,59.6,12/11/2021 13:05
SPL8,,E3,129,73.6,12/11/2021 13:05
SPL9,,B4,122,67.9,12/11/2021 13:05
SPL10,,C4,82.6,56.3,12/11/2021 13:05
SPL11,,D4,96.7,65.3,12/11/2021 13:05
SPL12,,E4,109,65.4,12/11/2021 13:05
SPL13,,B5,175,79.2,12/11/2021 13:05
SPL14,,C5,98,49.3,12/11/2021 13:05
SPL15,,D5,103,53.7,12/11/2021 13:05
SPL16,,E5,156,73.9,12/11/2021 13:05
SPL17,,B6,123,56.6,12/11/2021 13:05
SPL18,,C6,90.1,68.1,12/11/2021 13:05
SPL19,,D6,115,66.8,12/11/2021 13:05
SPL20,,E6,151,83.4,12/11/2021 13:05
SPL21,,B7,84.1,66,12/11/2021 13:05
SPL22,,C7,149,82.9,12/11/2021 13:05
SPL23,,D7,126,54.9,12/11/2021 13:05
SPL24,,E7,135,90.9,12/11/2021 13:05
