Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,30.6,35.2,12/17/2021 12:25
,,E1,22.2,30.9,
,,B8,16.8,42.4,
,,E8,26.3,30.9,
SPL1,,B2,878,191,12/17/2021 12:25
SPL2,,C2,1097,235,12/17/2021 12:25
SPL3,,D2,759,185,12/17/2021 12:25
SPL4,,E2,1011,257,12/17/2021 12:25
SPL5,,B3,2168,444,12/17/2021 12:25
SPL6,,C3,1002,234,12/17/2021 12:25
SPL7,,D3,1014,239,12/17/2021 12:25
SPL8,,E3,1614,322,12/17/2021 12:25
SPL9,,B4,1256,270,12/17/2021 12:25
SPL10,,C4,2453,555,12/17/2021 12:25
SPL11,,D4,2686,570,12/17/2021 12:25
SPL12,,E4,1153,340,12/17/2021 12:25
SPL13,,B5,1362,361,12/17/2021 12:25
SPL14,,C5,1367,340,12/17/2021 12:25
SPL15,,D5,1002,247,12/17/2021 12:25
SPL16,,E5,1081,281,12/17/2021 12:25
SPL17,,B6,2576,494,12/17/2021 12:25
SPL18,,C6,909,203,12/17/2021 12:25
SPL19,,D6,1109,258,12/17/2021 12:25
SPL20,,E6,2408,577,12/17/2021 12:25
SPL21,,B7,1356,355,12/17/2021 12:25
SPL22,,C7,983,215,12/17/2021 12:25
SPL23,,D7,1258,283,12/17/2021 12:25
SPL24,,E7,1179,303,12/17/2021 12:25
