Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,17.8,44.3,12/12/2021 13:01
,,E1,17.3,47.7,
,,B8,24.6,27.9,
,,E8,29.3,47.9,
SPL1,,B2,154,97.4,12/12/2021 13:01
SPL2,,C2,170,64,12/12/2021 13:01
SPL3,,D2,130,78.3,12/12/2021 13:01
SPL4,,E2,264,90.4,12/12/2021 13:01
SPL5,,B3,119,65.9,12/12/2021 13:01
SPL6,,C3,180,59.9,12/12/2021 13:01
SPL7,,D3,142,58.3,12/12/2021 13:01
SPL8,,E3,235,110,12/12/2021 13:01
SPL9,,B4,181,62.7,12/12/2021 13:01
SPL10,,C4,125,68.6,12/12/2021 13:01
SPL11,,D4,261,113,12/12/2021 13:01
SPL12,,E4,146,62.9,12/12/2021 13:01
SPL13,,B5,167,87.7,12/12/2021 13:01
SPL14,,C5,280,86,12/12/2021 13:01
SPL15,,D5,103,57.1,12/12/2021 13:01
SPL16,,E5,154,88.4,12/12/2021 13:01
SPL17,,B6,70.2,51.1,12/12/2021 13:01
SPL18,,C6,104,58.7,12/12/2021 13:01
SPL19,,D6,81,47.9,12/12/2021 13:01
SPL20,,E6,80.2,46,12/12/2021 13:01
SPL21,,B7,85.9,57.1,12/12/2021 13:01
SPL22,,C7,84.4,32.4,12/12/2021 13:01
SPL23,,D7,64.4,53.7,12/12/2021 13:01
SPL24,,E7,69,52.4,12/12/2021 13:01
