Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,17.6,52.6,12/13/2021 10:50
,,E1,18.7,38.4,
,,B8,22.4,39.2,
,,E8,19.7,46.9,
SPL1,,B2,314,106,12/13/2021 10:50
SPL2,,C2,297,99,12/13/2021 10:50
SPL3,,D2,276,108,12/13/2021 10:50
SPL4,,E2,256,120,12/13/2021 10:50
SPL5,,B3,276,103,12/13/2021 10:50
SPL6,,C3,196,64.7,12/13/2021 10:50
SPL7,,D3,130,72.1,12/13/2021 10:50
SPL8,,E3,203,92.4,12/13/2021 10:50
SPL9,,B4,239,79.9,12/13/2021 10:50
SPL10,,C4,177,89.8,12/13/2021 10:50
SPL11,,D4,253,84.7,12/13/2021 10:50
SPL12,,E4,203,80.4,12/13/2021 10:50
SPL13,,B5,276,108,12/13/2021 10:50
SPL14,,C5,348,115,12/13/2021 10:50
SPL15,,D5,425,142,12/13/2021 10:50
SPL16,,E5,248,86.7,12/13/2021 10:50
SPL17,,B6,234,90.6,12/13/2021 10:50
SPL18,,C6,166,63.6,12/13/2021 10:50
SPL19,,D6,237,89.2,12/13/2021 10:50
SPL20,,E6,176,66.7,12/13/2021 10:50
SPL21,,B7,337,141,12/13/2021 10:50
SPL22,,C7,234,71.4,12/13/2021 10:50
SPL23,,D7,305,117,12/13/2021 10:50
SPL24,,E7,290,110,12/13/2021 10:50
