Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,18.6,42.8,12/18/2021 10:28
,,E1,27.4,50.8,
,,B8,28.3,49.8,
,,E8,18.7,42.7,
SPL1,,B2,67.6,43.1,12/18/2021 10:28
SPL2,,C2,55.8,55.2,12/18/2021 10:28
SPL3,,D2,59.2,49.3,12/18/2021 10:28
SPL4,,E2,65.1,36.7,12/18/2021 10:28
SPL5,,B3,90.7,50.2,12/18/2021 10:28
SPL6,,C3,152,44.9,12/18/2021 10:28
SPL7,,D3,110,57.7,12/18/2021 10:28
SPL8,,E3,57.6,60.8,12/18/2021 10:28
SPL9,,B4,2105,380,12/18/2021 10:28
SPL10,,C4,947,198,12/18/2021 10:28
SPL11,,D4,1230,235,12/18/2021 10:28
SPL12,,E4,2388,410,12/18/2021 10:28
SPL13,,B5,1612,374,12/18/2021 10:28
SPL14,,C5,22.7,26.8,12/18/2021 10:28
SPL15,,D5,1177,267,12/18/2021 10:28
SPL16,,E5,1274,274,12/18/2021 10:28
SPL17,,B6,1810,457,12/18/2021 10:28
SPL18,,C6,1098,297,12/18/2021 10:28
SPL19,,D6,1552,346,12/18/2021 10:28
SPL20,,E6,1551,300,12/18/2021 10:28
SPL21,,B7,3184,624,12/18/2021 10:28
SPL22,,C7,4232,771,12/18/2021 10:28
SPL23,,D7,149,76,12/18/2021 10:28
SPL24,,E7,1997,464,12/18/2021 10:28
