Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,22.8,44,12/13/2021 11:19
,,E1,23.6,32.3,
,,B8,25.8,32,
,,E8,17,61.1,
SPL1,,B2,247,78,12/13/2021 11:19
SPL2,,C2,216,87.6,12/13/2021 11:19
SPL3,,D2,141,77.2,12/13/2021 11:19
SPL4,,E2,208,86.7,12/13/2021 11:19
SPL5,,B3,271,105,12/13/2021 11:19
SPL6,,C3,154,72,12/13/2021 11:19
SPL7,,D3,293,112,12/13/2021 11:19
SPL8,,E3,331,106,12/13/2021 11:19
SPL9,,B4,267,83.4,12/13/2021 11:19
SPL10,,C4,332,131,12/13/2021 11:19
SPL11,,D4,259,93.2,12/13/2021 11:19
SPL12,,E4,163,72.2,12/13/2021 11:19
SPL13,,B5,422,164,12/13/2021 11:19
SPL14,,C5,171,79.1,12/13/2021 11:19
SPL15,,D5,248,96.3,12/13/2021 11:19
SPL16,,E5,150,87.3,12/13/2021 11:19
SPL17,,B6,181,92.7,12/13/2021 11:19
SPL18,,C6,227,102,12/13/2021 11:19
SPL19,,D6,224,93.3,12/13/2021 11:19
SPL20,,E6,305,108,12/13/2021 11:19
SPL21,,B7,278,93.6,12/13/2021 11:19
SPL22,,C7,241,74.6,12/13/2021 11:19
SPL23,,D7,183,69,12/13/2021 11:19
SPL24,,E7,352,100,12/13/2021 11:19
