Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,26.1,40.8,12/17/2021 12:35
,,E1,27.1,34.6,
,,B8,22.8,39.1,
,,E8,18.2,39.6,
SPL1,,B2,1327,271,12/17/2021 12:35
SPL2,,C2,2768,595,12/17/2021 12:35
SPL3,,D2,1396,324,12/17/2021 12:35
SPL4,,E2,1208,312,12/17/2021 12:35
SPL5,,B3,2670,613,12/17/2021 12:35
SPL6,,C3,1074,263,12/17/2021 12:35
SPL7,,D3,1635,330,12/17/2021 12:35
SPL8,,E3,1320,248,12/17/2021 12:35
SPL9,,B4,1513,348,12/17/2021 12:35
SPL10,,C4,904,210,12/17/2021 12:35
SPL11,,D4,1115,311,12/17/2021 12:35
SPL12,,E4,2684,584,12/17/2021 12:35
SPL13,,B5,2677,605,12/17/2021 12:35
SPL14,,C5,844,213,12/17/2021 12:35
SPL15,,D5,1202,278,12/17/2021 12:35
SPL16,,E5,1350,312,12/17/2021 12:35
SPL17,,B6,1002,228,12/17/2021 12:35
SPL18,,C6,994,289,12/17/2021 12:35
SPL19,,D6,1318,352,12/17/2021 12:35
SPL20,,E6,1360,283,12/17/2021 12:35
SPL21,,B7,2684,578,12/17/2021 12:35
SPL22,,C7,1130,273,12/17/2021 12:35
SPL23,,D7,1018,267,12/17/2021 12:35
SPL24,,E7,2620,660,12/17/2021 12:35
