Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,34.4,34.8,12/15/2021 14:12
,,E1,19,38.8,
,,B8,21.3,61,
,,E8,16.6,32.6,
SPL1,,B2,991,261,12/15/2021 14:12
SPL2,,C2,538,186,12/15/2021 14:12
SPL3,,D2,442,126,12/15/2021 14:12
SPL4,,E2,506,164,12/15/2021 14:12
SPL5,,B3,516,124,12/15/2021 14:12
SPL6,,C3,552,160,12/15/2021 14:12
SPL7,,D3,871,218,12/15/2021 14:12
SPL8,,E3,497,111,12/15/2021 14:12
SPL9,,B4,443,113,12/15/2021 14:12
SPL10,,C4,545,180,12/15/2021 14:12
SPL11,,D4,383,110,12/15/2021 14:12
SPL12,,E4,794,228,12/15/2021 14:12
SPL13,,B5,774,208,12/15/2021 14:12
SPL14,,C5,552,165,12/15/2021 14:12
SPL15,,D5,511,158,12/15/2021 14:12
SPL16,,E5,399,130,12/15/2021 14:12
SPL17,,B6,702,210,12/15/2021 14:12
SPL18,,C6,940,260,12/15/2021 14:12
SPL19,,D6,413,131,12/15/2021 14:12
SPL20,,E6,539,159,12/15/2021 14:12
SPL21,,B7,960,249,12/15/2021 14:12
SPL22,,C7,419,134,12/15/2021 14:12
SPL23,,D7,561,138,12/15/2021 14:12
SPL24,,E7,435,121,12/15/2021 14:12
